reference_id,reference_class,organism,strain,assembly_accession,profile_species_name,download_url,inclusion_basis
faecalibacterium_a2_165,gut_bacterial_reference,Faecalibacterium duncaniae,A2-165,GCA_000162015.1,Faecalibacterium_prausnitzii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/162/015/GCA_000162015.1_ASM16201v1/GCA_000162015.1_ASM16201v1_genomic.fna.gz,"Common control-cohort taxon recorded under the legacy Faecalibacterium prausnitzii name; cultured reference strain"
bacteroides_uniformis_8492,gut_bacterial_reference,Bacteroides uniformis,ATCC 8492,GCA_000154205.1,Bacteroides_uniformis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/205/GCA_000154205.1_ASM15420v1/GCA_000154205.1_ASM15420v1_genomic.fna.gz,"Highly prevalent control-cohort taxon; type/reference strain"
phocaeicola_vulgatus_8482,gut_bacterial_reference,Phocaeicola vulgatus,ATCC 8482,GCA_000012825.1,Bacteroides_vulgatus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/825/GCA_000012825.1_ASM1282v1/GCA_000012825.1_ASM1282v1_genomic.fna.gz,"Highly prevalent control-cohort taxon recorded under the legacy Bacteroides vulgatus name; NCBI reference genome"
roseburia_inulinivorans_16841,gut_bacterial_reference,Roseburia inulinivorans,DSM 16841,GCA_000174195.1,Roseburia_inulinivorans,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/195/GCA_000174195.1_ASM17419v1/GCA_000174195.1_ASM17419v1_genomic.fna.gz,"Prevalent control-cohort butyrate-associated taxon; cultured reference strain"
parabacteroides_distasonis_8503,gut_bacterial_reference,Parabacteroides distasonis,ATCC 8503,GCA_000012845.1,Parabacteroides_distasonis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/845/GCA_000012845.1_ASM1284v1/GCA_000012845.1_ASM1284v1_genomic.fna.gz,"Highly prevalent control-cohort taxon; complete cultured reference genome"
bacteroides_thetaiotaomicron_vpi5482,gut_bacterial_reference,Bacteroides thetaiotaomicron,VPI-5482,GCA_000011065.1,Bacteroides_thetaiotaomicron,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/065/GCA_000011065.1_ASM1106v1/GCA_000011065.1_ASM1106v1_genomic.fna.gz,"Prevalent control-cohort taxon and established gut reference strain"
bifidobacterium_longum_ncc2705,gut_bacterial_reference,Bifidobacterium longum,NCC2705,GCA_000007525.1,Bifidobacterium_longum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/525/GCA_000007525.1_ASM752v1/GCA_000007525.1_ASM752v1_genomic.fna.gz,"Prevalent control-cohort taxon and established gut reference strain"
bacteroides_ovatus_8483,gut_bacterial_reference,Bacteroides ovatus,ATCC 8483,GCA_000154125.1,Bacteroides_ovatus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/125/GCA_000154125.1_ASM15412v1/GCA_000154125.1_ASM15412v1_genomic.fna.gz,"Prevalent control-cohort taxon; type/reference strain"
agathobacter_rectalis_33656,gut_bacterial_reference,Agathobacter rectalis,ATCC 33656,GCA_000020605.1,Eubacterium_rectale,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/605/GCA_000020605.1_ASM2060v1/GCA_000020605.1_ASM2060v1_genomic.fna.gz,"Prevalent control-cohort taxon recorded under the legacy Eubacterium rectale name; complete cultured reference genome"
roseburia_intestinalis_l1_82,gut_bacterial_reference,Roseburia intestinalis,L1-82,GCA_000156535.1,Roseburia_intestinalis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/156/535/GCA_000156535.1_ASM15653v1/GCA_000156535.1_ASM15653v1_genomic.fna.gz,"Cultured human gut reference selected to broaden protected butyrate-associated taxa"
human_grch38_p14,human_reference,Homo sapiens,GRCh38.p14,GCF_000001405.40,,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GCF_000001405.40_GRCh38.p14_genomic.fna.gz,"Versioned current GRCh38 reference assembly"
