task,strategy,cohort,auc,n_train,n_test,n_train_minority,n_train_majority,mean_lodo_auc
h_vs_a_rf,baseline,FengQ_2015,0.6299267527031741,471,108,136,335,0.5605807096138371
h_vs_a_rf,baseline,ThomasAM_2018a,0.5385802469135802,528,51,156,372,0.5605807096138371
h_vs_a_rf,baseline,YachidaS_2019,0.5437611940298508,262,317,116,146,0.5605807096138371
h_vs_a_rf,baseline,ZellerG_2014,0.5300546448087432,476,103,141,335,0.5605807096138371
h_vs_a_rf,random_under,FengQ_2015,0.6051621904429717,272,108,136,136,0.5393597785011344
h_vs_a_rf,random_under,ThomasAM_2018a,0.5108024691358024,312,51,156,156,0.5393597785011344
h_vs_a_rf,random_under,YachidaS_2019,0.5445970149253732,232,317,116,116,0.5393597785011344
h_vs_a_rf,random_under,ZellerG_2014,0.4968774395003903,282,103,141,141,0.5393597785011344
h_vs_a_rf,smote,FengQ_2015,0.6512033484478549,670,108,335,335,0.5748829874022332
h_vs_a_rf,smote,ThomasAM_2018a,0.5385802469135802,744,51,372,372,0.5748829874022332
h_vs_a_rf,smote,YachidaS_2019,0.544955223880597,292,317,146,146,0.5748829874022332
h_vs_a_rf,smote,ZellerG_2014,0.5647931303669008,670,103,335,335,0.5748829874022332
h_vs_a_rf,rebalanced_weight,FengQ_2015,0.6281827694454133,471,108,136,335,0.5777156867816536
h_vs_a_rf,rebalanced_weight,ThomasAM_2018a,0.5092592592592593,528,51,156,372,0.5777156867816536
h_vs_a_rf,rebalanced_weight,YachidaS_2019,0.5414925373134329,262,317,116,146,0.5777156867816536
h_vs_a_rf,rebalanced_weight,ZellerG_2014,0.631928181108509,476,103,141,335,0.5777156867816536
h_vs_a_xgb,baseline,FengQ_2015,0.6184164632019532,471,108,136,335,0.5791394545460873
h_vs_a_xgb,baseline,ThomasAM_2018a,0.5432098765432098,528,51,156,372,0.5791394545460873
h_vs_a_xgb,baseline,YachidaS_2019,0.571402985074627,262,317,116,146,0.5791394545460873
h_vs_a_xgb,baseline,ZellerG_2014,0.583528493364559,476,103,141,335,0.5791394545460873
h_vs_a_xgb,random_under,FengQ_2015,0.6226020230205791,272,108,136,136,0.570813519509342
h_vs_a_xgb,random_under,ThomasAM_2018a,0.5401234567901234,312,51,156,156,0.570813519509342
h_vs_a_xgb,random_under,YachidaS_2019,0.5756417910447762,232,317,116,116,0.570813519509342
h_vs_a_xgb,random_under,ZellerG_2014,0.5448868071818891,282,103,141,141,0.570813519509342
h_vs_a_xgb,smote,FengQ_2015,0.6117893268224625,670,108,335,335,0.5844546171407006
h_vs_a_xgb,smote,ThomasAM_2018a,0.5447530864197531,744,51,372,372,0.5844546171407006
h_vs_a_xgb,smote,YachidaS_2019,0.5743283582089552,292,317,146,146,0.5844546171407006
h_vs_a_xgb,smote,ZellerG_2014,0.6069476971116315,670,103,335,335,0.5844546171407006
h_vs_a_xgb,rebalanced_weight,FengQ_2015,0.6320195326124869,471,108,136,335,0.5816636482658873
h_vs_a_xgb,rebalanced_weight,ThomasAM_2018a,0.5277777777777778,528,51,156,372,0.5816636482658873
h_vs_a_xgb,rebalanced_weight,YachidaS_2019,0.5755223880597016,262,317,116,146,0.5816636482658873
