model,cohort,auc,ci_lo,ci_hi,n,n_boot_kept
species_rf,FengQ_2015,0.8399857448325017,0.7515039597074529,0.9154463011815953,107,10000
species_rf,GuptaA_2019,0.8822222222222222,0.7857103174603175,0.9592773712355755,60,10000
species_rf,ThomasAM_2018a,0.6939655172413793,0.5414256206756206,0.8318198287220027,53,10000
species_rf,ThomasAM_2018b,0.8102678571428571,0.6924803591470258,0.9140280330882352,60,10000
species_rf,ThomasAM_2019_c,0.835625,0.739128364389234,0.9200792079327291,80,10000
species_rf,VogtmannE_2016,0.7559171597633135,0.6555533781261664,0.8439383903133902,104,10000
species_rf,WirbelJ_2018,0.8817948717948718,0.8200724298409892,0.9328896214782485,125,10000
species_rf,YachidaS_2019,0.707720930232558,0.6616448924545779,0.7521980483175897,508,10000
species_rf,YuJ_2015,0.8646146146146146,0.7977381751418469,0.923562388137556,128,10000
species_rf,ZellerG_2014,0.8026600680482525,0.7168560606060607,0.8804869361537719,114,10000
species_rf,pooled,0.7812275495861314,0.7566936466117863,0.8048487130722103,1339,10000
joint_rf,FengQ_2015,0.8328581610833927,0.744227150107692,0.9100358422939068,107,10000
joint_rf,GuptaA_2019,0.9122222222222222,0.8239948372615039,0.978865406006674,60,10000
joint_rf,ThomasAM_2018a,0.8433908045977012,0.7150997150997151,0.9468423458725181,53,10000
joint_rf,ThomasAM_2018b,0.7912946428571428,0.6696329254727474,0.8984375000000001,60,10000
joint_rf,ThomasAM_2019_c,0.7775,0.6731207743710692,0.8717787554996856,80,10000
joint_rf,VogtmannE_2016,0.7196745562130178,0.6152060616537912,0.816572504708098,104,10000
joint_rf,WirbelJ_2018,0.852051282051282,0.7799134664770258,0.9116883116883117,125,10000
joint_rf,YachidaS_2019,0.6685271317829458,0.6216193448591887,0.7145338686277396,508,10000
joint_rf,YuJ_2015,0.8193193193193193,0.7454545454545455,0.8857184427414689,128,10000
joint_rf,ZellerG_2014,0.8261676461490874,0.7441273205587723,0.8994438638722949,114,10000
joint_rf,pooled,0.7560830860534125,0.7306347669132834,0.7808831832030662,1339,10000
joint_xgb,FengQ_2015,0.8439059158945117,0.7581534581917873,0.9156201055691092,107,10000
joint_xgb,GuptaA_2019,0.8855555555555557,0.7908787541713015,0.9588571428571429,60,10000
joint_xgb,ThomasAM_2018a,0.742816091954023,0.5985442214790041,0.8728571428571429,53,10000
joint_xgb,ThomasAM_2018b,0.7611607142857143,0.6294444823317106,0.8787541713014461,60,10000
joint_xgb,ThomasAM_2019_c,0.81875,0.7212456418073796,0.9058688614872125,80,10000
joint_xgb,VogtmannE_2016,0.7340976331360946,0.6308318300256367,0.8274086786229644,104,10000
joint_xgb,WirbelJ_2018,0.86,0.7914664367509635,0.9188644369329301,125,10000
joint_xgb,YachidaS_2019,0.694015503875969,0.6473486065645085,0.7390411220959114,508,10000
joint_xgb,YuJ_2015,0.8188188188188188,0.7432395328065509,0.886427945786465,128,10000
joint_xgb,ZellerG_2014,0.8113207547169811,0.7276639222151597,0.887021864301276,114,10000
joint_xgb,pooled,0.7659824635773409,0.7402291693700187,0.7904939428418446,1339,10000
