cohort,species_auc,species_cov_auc,difference
FengQ_2015,0.8399857448325017,0.8303635067712045,-0.00962223806129714
GuptaA_2019,0.8822222222222222,0.8922222222222222,0.010000000000000009
ThomasAM_2018a,0.6939655172413793,0.7399425287356323,0.04597701149425293
ThomasAM_2018b,0.8102678571428571,0.8191964285714286,0.008928571428571508
ThomasAM_2019_c,0.835625,0.8287499999999999,-0.0068750000000000755
VogtmannE_2016,0.7559171597633135,0.761094674556213,0.005177514792899518
WirbelJ_2018,0.8817948717948718,0.8843589743589743,0.002564102564102444
YachidaS_2019,0.707720930232558,0.703906976744186,-0.0038139534883719906
YuJ_2015,0.8646146146146146,0.8746246246246246,0.010010010010010006
ZellerG_2014,0.8026600680482525,0.8094648932879678,0.006804825239715262
