strategy,fold_or_pooled,auc,n
pooled_5fold,fold1,0.8091339459760514,268
pooled_5fold,fold2,0.8252854358117515,268
pooled_5fold,fold3,0.8698969646338066,268
pooled_5fold,fold4,0.8239487607908661,268
pooled_5fold,fold5,0.8361575580742902,267
pooled_5fold,POOLED,0.8312398206197988,1339
standard_lodo,FengQ_2015,0.8399857448325017,107
standard_lodo,GuptaA_2019,0.8822222222222222,60
standard_lodo,ThomasAM_2018a,0.7083333333333333,53
standard_lodo,ThomasAM_2018b,0.8281249999999999,60
standard_lodo,ThomasAM_2019_c,0.9981249999999999,80
standard_lodo,VogtmannE_2016,0.7559171597633135,104
standard_lodo,WirbelJ_2018,0.8817948717948718,125
standard_lodo,YachidaS_2019,0.7604651162790698,508
standard_lodo,YuJ_2015,0.8646146146146146,128
standard_lodo,ZellerG_2014,0.8026600680482525,114
standard_lodo,POOLED,0.8176970616452108,1339
country_aware_lodo,FengQ_2015,0.8399857448325017,107
country_aware_lodo,GuptaA_2019,0.8822222222222222,60
country_aware_lodo,ThomasAM_2018a,0.6939655172413793,53
country_aware_lodo,ThomasAM_2018b,0.8102678571428571,60
country_aware_lodo,ThomasAM_2019_c,0.835625,80
country_aware_lodo,VogtmannE_2016,0.7559171597633135,104
country_aware_lodo,WirbelJ_2018,0.8817948717948718,125
country_aware_lodo,YachidaS_2019,0.707720930232558,508
country_aware_lodo,YuJ_2015,0.8646146146146146,128
country_aware_lodo,ZellerG_2014,0.8026600680482525,114
country_aware_lodo,POOLED,0.7812275495861314,1339
group_kfold_cohort,FengQ_2015,0.8399857448325017,107
group_kfold_cohort,GuptaA_2019,0.8822222222222222,60
group_kfold_cohort,ThomasAM_2018a,0.7083333333333333,53
group_kfold_cohort,ThomasAM_2018b,0.8281249999999999,60
group_kfold_cohort,ThomasAM_2019_c,0.9981249999999999,80
group_kfold_cohort,VogtmannE_2016,0.7559171597633135,104
group_kfold_cohort,WirbelJ_2018,0.8817948717948718,125
group_kfold_cohort,YachidaS_2019,0.7604651162790698,508
group_kfold_cohort,YuJ_2015,0.8646146146146146,128
group_kfold_cohort,ZellerG_2014,0.8026600680482525,114
group_kfold_cohort,POOLED,0.8176970616452108,1339
