model,threshold_pt,net_benefit,n_tp,n_fp,strategy
species_rf,0.01,0.498344,674,665,model
species_rf,0.02,0.493225,674,665,model
species_rf,0.03,0.488001,674,665,model
species_rf,0.04,0.482667,674,665,model
species_rf,0.05,0.477222,674,665,model
species_rf,0.06,0.47166,674,665,model
species_rf,0.07,0.465979,674,665,model
species_rf,0.08,0.460175,674,665,model
species_rf,0.09,0.454243,674,665,model
species_rf,0.1,0.448179,674,665,model
species_rf,0.11,0.441978,674,665,model
species_rf,0.12,0.435637,674,665,model
species_rf,0.13,0.42915,674,665,model
species_rf,0.14,0.422512,674,665,model
species_rf,0.15,0.415982,674,663,model
species_rf,0.16,0.40919,674,662,model
species_rf,0.17,0.40181,673,659,model
species_rf,0.18,0.395071,673,656,model
species_rf,0.19,0.38822,673,653,model
species_rf,0.2,0.380695,672,649,model
species_rf,0.21,0.373422,672,647,model
species_rf,0.22,0.365677,671,643,model
species_rf,0.23,0.357604,670,640,model
species_rf,0.24,0.350615,670,635,model
species_rf,0.25,0.343789,669,626,model
species_rf,0.26,0.336718,668,618,model
species_rf,0.27,0.327202,663,608,model
species_rf,0.28,0.319807,660,596,model
species_rf,0.29,0.315708,658,576,model
species_rf,0.3,0.308226,654,563,model
species_rf,0.31,0.297237,646,552,model
species_rf,0.32,0.289241,640,537,model
species_rf,0.33,0.285198,638,520,model
species_rf,0.34,0.278838,633,504,model
species_rf,0.35,0.275923,629,482,model
species_rf,0.36,0.265637,615,461,model
species_rf,0.37,0.25788,609,449,model
species_rf,0.38,0.252427,604,434,model
species_rf,0.39,0.250505,595,406,model
species_rf,0.4,0.249191,589,383,model
species_rf,0.41,0.237984,573,366,model
species_rf,0.42,0.236667,566,344,model
species_rf,0.43,0.231202,554,324,model
species_rf,0.44,0.228315,543,302,model
species_rf,0.45,0.22493,527,276,model
species_rf,0.46,0.227284,519,252,model
species_rf,0.47,0.228148,513,234,model
species_rf,0.48,0.232263,503,208,model
species_rf,0.49,0.22519,486,192,model
species_rf,0.5,0.215833,470,181,model
joint_rf,0.01,0.498344,674,665,model
joint_rf,0.02,0.493225,674,665,model
joint_rf,0.03,0.488001,674,665,model
joint_rf,0.04,0.482667,674,665,model
joint_rf,0.05,0.477222,674,665,model
joint_rf,0.06,0.47166,674,665,model
joint_rf,0.07,0.465979,674,665,model
joint_rf,0.08,0.460175,674,665,model
joint_rf,0.09,0.454243,674,665,model
joint_rf,0.1,0.448179,674,665,model
joint_rf,0.11,0.441978,674,665,model
joint_rf,0.12,0.435637,674,665,model
joint_rf,0.13,0.42915,674,665,model
joint_rf,0.14,0.422512,674,665,model
joint_rf,0.15,0.415718,674,665,model
joint_rf,0.16,0.408905,674,664,model
joint_rf,0.17,0.402098,674,662,model
joint_rf,0.18,0.395162,674,660,model
joint_rf,0.19,0.387169,673,659,model
joint_rf,0.2,0.379201,672,657,model
joint_rf,0.21,0.371087,671,655,model
joint_rf,0.22,0.364413,671,649,model
joint_rf,0.23,0.356042,670,647,model
joint_rf,0.24,0.348178,668,639,model
joint_rf,0.25,0.339059,666,636,model
joint_rf,0.26,0.331106,664,628,model
joint_rf,0.27,0.323856,660,612,model
joint_rf,0.28,0.316571,658,602,model
joint_rf,0.29,0.309165,657,595,model
joint_rf,0.3,0.302998,656,584,model
joint_rf,0.31,0.294596,651,571,model
joint_rf,0.32,0.292141,650,550,model
joint_rf,0.33,0.281966,645,543,model
joint_rf,0.34,0.2737,639,529,model
joint_rf,0.35,0.268972,638,516,model
joint_rf,0.36,0.261389,629,496,model
joint_rf,0.37,0.256138,619,470,model
joint_rf,0.38,0.25062,612,451,model
joint_rf,0.39,0.241555,599,431,model
joint_rf,0.4,0.228778,579,409,model
joint_rf,0.41,0.223124,567,386,model
joint_rf,0.42,0.225026,562,360,model
joint_rf,0.43,0.223301,557,342,model
joint_rf,0.44,0.223834,548,316,model
joint_rf,0.45,0.217937,534,296,model
joint_rf,0.46,0.217243,526,276,model
joint_rf,0.47,0.212338,514,259,model
joint_rf,0.48,0.212156,501,235,model
joint_rf,0.49,0.212479,493,217,model
joint_rf,0.5,0.20239,478,207,model
joint_xgb,0.01,0.48389,654,601,model
joint_xgb,0.02,0.468809,639,552,model
joint_xgb,0.03,0.459329,631,516,model
joint_xgb,0.04,0.450616,624,495,model
joint_xgb,0.05,0.443104,618,469,model
joint_xgb,0.06,0.433413,609,449,model
joint_xgb,0.07,0.42553,602,428,model
joint_xgb,0.08,0.419424,597,407,model
joint_xgb,0.09,0.416007,596,394,model
joint_xgb,0.1,0.409012,590,381,model
joint_xgb,0.11,0.405258,588,367,model
joint_xgb,0.12,0.395207,578,358,model
joint_xgb,0.13,0.386744,570,349,model
joint_xgb,0.14,0.378762,563,343,model
joint_xgb,0.15,0.375082,561,333,model
joint_xgb,0.16,0.370639,558,324,model
joint_xgb,0.17,0.363452,552,319,model
joint_xgb,0.18,0.359114,550,315,model
joint_xgb,0.19,0.352843,544,305,model
joint_xgb,0.2,0.348768,541,296,model
joint_xgb,0.21,0.344268,537,286,model
joint_xgb,0.22,0.336416,530,282,model
joint_xgb,0.23,0.329544,524,277,model
joint_xgb,0.24,0.324987,522,275,model
joint_xgb,0.25,0.319642,519,273,model
joint_xgb,0.26,0.317018,519,269,model
joint_xgb,0.27,0.312439,516,264,model
joint_xgb,0.28,0.308896,512,253,model
joint_xgb,0.29,0.303874,509,250,model
joint_xgb,0.3,0.301398,506,239,model
joint_xgb,0.31,0.297215,504,236,model
joint_xgb,0.32,0.292316,502,235,model
joint_xgb,0.33,0.286581,498,232,model
joint_xgb,0.34,0.283454,497,228,model
joint_xgb,0.35,0.27937,492,219,model
joint_xgb,0.36,0.273712,488,216,model
joint_xgb,0.37,0.266676,481,211,model
joint_xgb,0.38,0.261654,476,205,model
joint_xgb,0.39,0.25659,474,204,model
joint_xgb,0.4,0.252427,472,201,model
joint_xgb,0.41,0.249516,471,197,model
joint_xgb,0.42,0.24277,467,196,model
joint_xgb,0.43,0.241172,464,187,model
joint_xgb,0.44,0.236317,461,184,model
joint_xgb,0.45,0.233078,461,182,model
joint_xgb,0.46,0.229442,458,177,model
joint_xgb,0.47,0.225978,456,173,model
joint_xgb,0.48,0.221922,455,171,model
joint_xgb,0.49,0.215554,451,169,model
joint_xgb,0.5,0.212099,450,166,model
treat_all,0.01,0.498344,674,665,all
treat_none,0.01,0.0,0,0,none
treat_all,0.02,0.493225,674,665,all
treat_none,0.02,0.0,0,0,none
treat_all,0.03,0.488001,674,665,all
