model,frac_screened,cumulative_n,cumulative_tp,total_positives,cumulative_gains,lift,prevalence
species_rf,0.1,134,126,674,0.186944,1.868041,0.503361
species_rf,0.2,268,238,674,0.353116,1.764261,0.503361
species_rf,0.3,402,336,674,0.498516,1.660481,0.503361
species_rf,0.4,536,413,674,0.61276,1.530756,0.503361
species_rf,0.5,670,480,674,0.712166,1.423269,0.503361
species_rf,0.6,803,527,674,0.781899,1.303814,0.503361
species_rf,0.7,937,573,674,0.850148,1.214887,0.503361
species_rf,0.8,1071,614,674,0.910979,1.138937,0.503361
species_rf,0.9,1205,649,674,0.962908,1.069987,0.503361
species_rf,1.0,1339,674,674,1.0,1.0,0.503361
joint_rf,0.1,134,120,674,0.178042,1.779087,0.503361
joint_rf,0.2,268,225,674,0.333828,1.667894,0.503361
joint_rf,0.3,402,315,674,0.467359,1.556701,0.503361
joint_rf,0.4,536,397,674,0.589021,1.471453,0.503361
joint_rf,0.5,670,470,674,0.697329,1.393618,0.503361
joint_rf,0.6,803,526,674,0.780415,1.30134,0.503361
joint_rf,0.7,937,565,674,0.838279,1.197925,0.503361
joint_rf,0.8,1071,613,674,0.909496,1.137082,0.503361
joint_rf,0.9,1205,650,674,0.964392,1.071635,0.503361
joint_rf,1.0,1339,674,674,1.0,1.0,0.503361
joint_xgb,0.1,134,124,674,0.183976,1.83839,0.503361
joint_xgb,0.2,268,231,674,0.34273,1.712371,0.503361
joint_xgb,0.3,402,319,674,0.473294,1.576469,0.503361
joint_xgb,0.4,536,404,674,0.599407,1.497398,0.503361
joint_xgb,0.5,670,471,674,0.698813,1.396583,0.503361
joint_xgb,0.6,803,525,674,0.778932,1.298866,0.503361
joint_xgb,0.7,937,578,674,0.857567,1.225488,0.503361
joint_xgb,0.8,1071,615,674,0.912463,1.140792,0.503361
joint_xgb,0.9,1205,644,674,0.95549,1.061743,0.503361
joint_xgb,1.0,1339,674,674,1.0,1.0,0.503361
