k,top_species_added,mean_per_cohort_auc,pooled_auc,delta_from_full
1,Gemella_morbillorum,0.6378,0.6238,-0.1575
2,Parvimonas_micra,0.7008,0.6722,-0.109
3,Peptostreptococcus_stomatis,0.7127,0.6793,-0.1019
4,Fusobacterium_nucleatum,0.7245,0.689,-0.0922
5,Solobacterium_moorei,0.7293,0.6945,-0.0867
6,Dialister_pneumosintes,0.7371,0.7054,-0.0758
7,Ruthenibacterium_lactatiformans,0.7528,0.7305,-0.0508
8,Roseburia_faecis,0.7821,0.7559,-0.0253
9,Roseburia_intestinalis,0.7762,0.7574,-0.0238
10,Eubacterium_eligens,0.7681,0.7516,-0.0296
11,Streptococcus_salivarius,0.7847,0.7672,-0.014
12,Bacteroides_caccae,0.7948,0.7775,-0.0038
13,Flavonifractor_plautii,0.7916,0.777,-0.0043
14,Parabacteroides_distasonis,0.796,0.7828,0.0016
15,Odoribacter_splanchnicus,0.791,0.7789,-0.0023
16,Clostridium_symbiosum,0.7869,0.7732,-0.008
17,Eisenbergiella_tayi,0.7885,0.7747,-0.0065
18,Bacteroides_thetaiotaomicron,0.7913,0.7756,-0.0056
19,Intestinimonas_butyriciproducens,0.794,0.7775,-0.0037
20,Anaerostipes_hadrus,0.7965,0.7829,0.0017
21,Anaerotruncus_colihominis,0.7947,0.7818,0.0006
22,Butyricimonas_virosa,0.8018,0.7856,0.0043
23,Faecalibacterium_prausnitzii,0.8001,0.7818,0.0006
24,Escherichia_coli,0.8017,0.7775,-0.0037
25,Bacteroides_fragilis,0.8035,0.778,-0.0032
26,Bacteroides_plebeius,0.808,0.7793,-0.0019
27,Alistipes_finegoldii,0.8076,0.7811,-0.0001
28,Mogibacterium_diversum,0.8059,0.7807,-0.0006
29,Hungatella_hathewayi,0.8114,0.7841,0.0029
30,Streptococcus_anginosus_group,0.8116,0.7828,0.0016
31,Streptococcus_thermophilus,0.8096,0.783,0.0018
32,Ruminococcus_bicirculans,0.8085,0.7841,0.0029
33,Atopobium_parvulum,0.8134,0.7854,0.0042
34,Clostridium_sp_CAG_58,0.8109,0.787,0.0057
35,Eubacterium_ventriosum,0.8128,0.7875,0.0063
36,Collinsella_aerofaciens,0.8137,0.7873,0.0061
37,Bifidobacterium_longum,0.8139,0.7866,0.0054
38,Allisonella_histaminiformans,0.8185,0.7915,0.0103
39,Veillonella_parvula,0.8189,0.794,0.0128
40,Streptococcus_oralis,0.8182,0.7937,0.0124
41,Streptococcus_mitis,0.8175,0.7939,0.0127
42,Eubacterium_sp_CAG_38,0.8171,0.7942,0.0129
43,Bilophila_wadsworthia,0.8157,0.7919,0.0107
44,Holdemania_filiformis,0.8144,0.7911,0.0099
45,Bifidobacterium_adolescentis,0.8172,0.7925,0.0113
46,Agathobaculum_butyriciproducens,0.8129,0.7899,0.0086
47,Bacteroides_nordii,0.8144,0.7916,0.0104
48,Fusicatenibacter_saccharivorans,0.8127,0.7898,0.0086
49,Actinomyces_sp_HMSC035G02,0.8122,0.7888,0.0076
50,Parabacteroides_merdae,0.8082,0.7874,0.0062
