cohort,threshold,n,n_pos,n_neg,tp,fp,tn,fn,sensitivity,specificity,ppv,npv
POOLED,0.4847,1339,674,665,498,201,464,176,0.7389,0.6977,0.7124,0.725
FengQ_2015,0.4847,107,46,61,34,7,54,12,0.7391,0.8852,0.8293,0.8182
GuptaA_2019,0.4847,60,30,30,27,6,24,3,0.9,0.8,0.8182,0.8889
ThomasAM_2018a,0.4847,53,29,24,19,10,14,10,0.6552,0.5833,0.6552,0.5833
ThomasAM_2018b,0.4847,60,32,28,20,3,25,12,0.625,0.8929,0.8696,0.6757
ThomasAM_2019_c,0.4847,80,40,40,35,16,24,5,0.875,0.6,0.6863,0.8276
VogtmannE_2016,0.4847,104,52,52,36,17,35,16,0.6923,0.6731,0.6792,0.6863
WirbelJ_2018,0.4847,125,60,65,40,4,61,20,0.6667,0.9385,0.9091,0.7531
YachidaS_2019,0.4847,508,258,250,182,99,151,76,0.7054,0.604,0.6477,0.6652
YuJ_2015,0.4847,128,74,54,61,14,40,13,0.8243,0.7407,0.8133,0.7547
ZellerG_2014,0.4847,114,53,61,44,25,36,9,0.8302,0.5902,0.6377,0.8
