cohort,n,sens_observed,spec_observed,ppv_at_0.5pct,ppv_at_2pct,ppv_at_5pct,ppv_at_10pct,npv_at_5pct,nnt_at_5pct
FengQ_2015,107,0.7391,0.8852,0.0314,0.1162,0.2532,0.4171,0.9847,3.9499
GuptaA_2019,60,0.8667,0.8333,0.0255,0.0959,0.2149,0.3662,0.9916,4.6538
ThomasAM_2018a,53,0.8621,0.5,0.0086,0.034,0.0832,0.1608,0.9857,12.02
ThomasAM_2018b,60,0.5938,0.9643,0.0771,0.2533,0.4667,0.6488,0.9783,2.1429
ThomasAM_2019_c,80,0.825,0.775,0.0181,0.0696,0.1618,0.2895,0.9883,6.1818
VogtmannE_2016,104,0.6731,0.75,0.0133,0.0521,0.1241,0.2303,0.9776,8.0571
WirbelJ_2018,125,0.6667,0.9538,0.0677,0.2277,0.4319,0.6161,0.9819,2.3154
YachidaS_2019,508,0.7248,0.6,0.009,0.0357,0.0871,0.1676,0.9764,11.4856
YuJ_2015,128,0.8108,0.8148,0.0215,0.082,0.1873,0.3273,0.9879,5.3395
ZellerG_2014,114,0.5472,0.9508,0.0529,0.185,0.3693,0.5528,0.9755,2.7077
