cohort,n_samples,n_CRC,n_control,n_adenoma,median_shannon,median_depth_Mreads,pct_zero_features
FengQ_2015,154,46,61,47,2.9339,53.755,57.04
GuptaA_2019,60,30,30,0,2.2309,8.71,82.43
ThomasAM_2018a,80,29,24,27,2.5109,83.354,70.85
ThomasAM_2018b,60,32,28,0,3.158,39.368,56.56
ThomasAM_2019_c,80,40,40,0,2.8049,42.509,64.87
VogtmannE_2016,104,52,52,0,3.0088,66.606,55.3
WirbelJ_2018,125,60,65,0,3.0613,46.737,59.0
YachidaS_2019,575,258,250,67,2.7815,43.669,65.37
YuJ_2015,128,74,54,0,2.8903,58.529,57.2
ZellerG_2014,156,53,61,42,3.1603,58.681,55.37
