run_accession,loaded_uid,instrument_model,nr_reads_sequenced,country,qc_status,qc_message,n_species
SRR16124168,81967,Illumina NovaSeq 6000,35175084,China,1,,172
SRR16124169,81968,Illumina NovaSeq 6000,32760068,China,1,,163
SRR16124170,81969,Illumina NovaSeq 6000,35676030,China,1,,146
SRR16124171,81970,Illumina NovaSeq 6000,33439646,China,1,,124
SRR16124172,81971,Illumina NovaSeq 6000,34576223,China,1,,86
SRR16124173,81972,Illumina NovaSeq 6000,35595028,China,1,,160
SRR16124174,80186,Illumina NovaSeq 6000,38197025,China,1,,156
SRR16124175,80187,Illumina NovaSeq 6000,33666565,China,1,,75
SRR16124176,80188,Illumina NovaSeq 6000,34048863,China,1,,74
SRR16124177,80189,Illumina NovaSeq 6000,36470079,China,1,,135
SRR16124178,80190,Illumina NovaSeq 6000,37205212,China,1,,138
SRR16124179,80191,Illumina NovaSeq 6000,34478265,China,1,,43
SRR16124180,80192,Illumina NovaSeq 6000,34348543,China,1,,133
SRR16124181,80193,Illumina NovaSeq 6000,34848704,China,1,,148
SRR16124182,80194,Illumina NovaSeq 6000,36228051,China,1,,92
SRR16124183,80195,Illumina NovaSeq 6000,36793878,China,1,,145
SRR16124184,80196,Illumina NovaSeq 6000,37836089,China,1,,159
SRR16124185,80197,Illumina NovaSeq 6000,37693396,China,1,,86
SRR16124186,80198,Illumina NovaSeq 6000,34867455,China,1,,138
SRR16124187,80199,Illumina NovaSeq 6000,38507521,China,1,,156
SRR16124188,80200,Illumina NovaSeq 6000,38663540,China,1,,133
SRR16124189,80201,Illumina NovaSeq 6000,42425442,China,1,,193
SRR16124190,80202,Illumina NovaSeq 6000,37014313,China,1,,91
SRR16124191,80203,Illumina NovaSeq 6000,35968252,China,1,,136
SRR16124192,80204,Illumina NovaSeq 6000,37070244,China,1,,137
SRR16124193,80205,Illumina NovaSeq 6000,35482905,China,1,,106
SRR16124194,80206,Illumina NovaSeq 6000,38241235,China,1,,177
SRR16124195,80207,Illumina NovaSeq 6000,38684717,China,1,,166
SRR16124196,80208,Illumina NovaSeq 6000,37946089,China,1,,142
SRR16124197,80209,Illumina NovaSeq 6000,43143960,China,1,,146
SRR16124198,80210,Illumina NovaSeq 6000,34037403,China,1,,137
SRR16124199,80211,Illumina NovaSeq 6000,37607070,China,1,,130
SRR16124200,80212,Illumina NovaSeq 6000,36197274,China,1,,118
SRR16124201,80213,Illumina NovaSeq 6000,36732384,China,1,,117
SRR16124202,80214,Illumina NovaSeq 6000,36237695,China,1,,79
SRR16124203,80215,Illumina NovaSeq 6000,35722439,China,1,,144
SRR16124204,80216,Illumina NovaSeq 6000,34407332,China,1,,104
SRR16124205,80217,Illumina NovaSeq 6000,35596169,China,1,,119
SRR16124206,80218,Illumina NovaSeq 6000,29950973,China,1,,80
SRR16124207,80219,Illumina NovaSeq 6000,29631208,China,1,,118
SRR16124208,80220,Illumina NovaSeq 6000,37235160,China,1,,109
