run_accession,matched_abundance_percent,matched_detected_species,total_detected_species
SRR16124168,35.562079999999995,70.0,172.0
SRR16124169,75.17599999999999,68.0,163.0
SRR16124170,39.41356,55.0,146.0
SRR16124171,29.063899999999993,51.0,124.0
SRR16124172,5.86573,35.0,86.0
SRR16124173,10.95618,69.0,160.0
SRR16124174,29.73019,67.0,156.0
SRR16124175,22.494609999999994,41.0,75.0
SRR16124176,60.36425,38.0,74.0
SRR16124177,44.788349999999994,57.0,135.0
SRR16124178,16.476580000000002,57.0,138.0
SRR16124179,91.37965000000001,25.0,43.0
SRR16124180,30.30891,65.0,133.0
SRR16124181,42.23412000000001,62.0,148.0
SRR16124182,4.456979999999999,43.0,92.0
SRR16124183,59.42336,57.0,145.0
SRR16124184,57.188489999999994,62.0,159.0
SRR16124185,63.08092,38.0,86.0
SRR16124186,40.2113,56.0,138.0
SRR16124187,35.206390000000006,66.0,156.0
SRR16124188,7.726019999999999,54.0,133.0
SRR16124189,29.584529999999997,68.0,193.0
SRR16124190,70.311,46.0,91.0
SRR16124191,18.62161,55.0,136.0
SRR16124192,14.88365,56.0,137.0
SRR16124193,29.105460000000004,49.0,106.0
SRR16124194,58.114450000000005,78.0,177.0
SRR16124195,54.66013,69.0,166.0
SRR16124196,9.832060000000002,64.0,142.0
SRR16124197,64.04136999999999,66.0,146.0
SRR16124198,46.23285,59.0,137.0
SRR16124199,48.05968,55.0,130.0
SRR16124200,43.48382,51.0,118.0
SRR16124201,18.289140000000003,53.0,117.0
SRR16124202,26.20547,40.0,79.0
SRR16124203,41.08703,64.0,144.0
SRR16124204,44.8575,45.0,104.0
SRR16124205,63.617259999999995,59.0,119.0
SRR16124206,55.25519,39.0,80.0
SRR16124207,55.80093000000001,62.0,118.0
SRR16124208,9.760629999999999,54.0,109.0
SRR16124209,54.392399999999995,65.0,144.0
SRR16124210,63.593560000000004,48.0,107.0
SRR16124211,17.782700000000002,76.0,174.0
SRR16124212,58.310480000000005,64.0,142.0
SRR16124213,59.04615000000001,70.0,158.0
SRR16124214,45.86582000000001,67.0,144.0
SRR16124215,23.701919999999998,51.0,113.0
SRR16124216,16.29016,60.0,123.0
SRR16124217,63.90406000000001,35.0,68.0
SRR16124218,20.59381,61.0,153.0
SRR16124219,63.64875,45.0,105.0
SRR16124220,44.74450999999999,66.0,159.0
SRR16124221,35.057410000000004,54.0,105.0
SRR16124222,71.60615,40.0,77.0
SRR16124223,71.12991,68.0,150.0
SRR16124224,35.50375,67.0,135.0
SRR16124225,51.63032,79.0,186.0
SRR16124226,85.53316,49.0,97.0
SRR16124227,61.00896,52.0,112.0
SRR16124228,42.083670000000005,54.0,153.0
SRR16124229,33.68152,60.0,140.0
SRR16124230,93.93033,20.0,43.0
SRR16124231,6.85087,54.0,103.0
SRR16124232,20.31399,60.0,128.0
SRR16124233,41.75276,40.0,78.0
SRR16124234,62.24954999999999,63.0,123.0
SRR16124235,49.992990000000006,60.0,147.0
SRR16124236,21.08932,66.0,171.0
SRR16124237,5.9578999999999995,50.0,98.0
SRR16124238,33.445679999999996,67.0,166.0
SRR16124239,53.435199999999995,68.0,152.0
SRR16124240,40.07363,75.0,203.0
SRR16124241,93.19702999999997,50.0,101.0
SRR16124242,14.062960000000002,61.0,141.0
SRR16124243,42.59424,61.0,120.0
SRR16124244,4.58994,50.0,108.0
SRR16124245,57.04324999999999,52.0,110.0
SRR16124246,52.161840000000005,49.0,110.0
SRR16124247,30.549360000000004,51.0,114.0
SRR16124248,26.60889,41.0,87.0
SRR16124249,18.4569,43.0,85.0
SRR16124250,39.79661,66.0,163.0
SRR16124251,64.15958,49.0,101.0
SRR16124252,66.90536,49.0,108.0
SRR16124253,56.99813,59.0,128.0
SRR16124254,41.237880000000004,43.0,85.0
SRR16124255,11.665170000000002,32.0,72.0
SRR16124256,12.139190000000003,68.0,160.0
SRR16124257,39.76133,48.0,89.0
SRR16124258,54.40618,52.0,112.0
SRR16124259,48.329209999999996,75.0,177.0
SRR16124260,60.84596,75.0,168.0
SRR16124261,46.92403000000001,63.0,145.0
SRR16124262,9.598770000000002,58.0,134.0
SRR16124263,39.672689999999996,63.0,161.0
SRR16124264,62.95334,73.0,155.0
SRR16124265,15.892399999999999,63.0,155.0
SRR16124266,10.569039999999998,50.0,111.0
SRR16124267,40.01108,80.0,204.0
SRR16124268,10.422770000000002,73.0,168.0
SRR16124269,56.79212,52.0,102.0
SRR16124270,68.54469,57.0,112.0
SRR16124271,64.41129000000001,36.0,70.0
SRR16124272,38.36694,56.0,111.0
SRR16124273,9.875470000000002,63.0,156.0
SRR16124274,10.78229,63.0,151.0
SRR16124275,64.29760999999999,46.0,104.0
SRR16124276,36.532039999999995,62.0,147.0
SRR16124277,23.12941,68.0,157.0
SRR16124278,57.501250000000006,55.0,124.0
SRR16124279,47.57265,72.0,187.0
SRR16124280,24.885179999999995,81.0,230.0
SRR16124281,36.726810000000015,63.0,155.0
SRR16124282,39.39184,43.0,95.0
SRR16124283,72.39787000000001,36.0,75.0
SRR16124284,38.7625,73.0,163.0
SRR16124285,39.96932,68.0,171.0
SRR16124286,73.52882,53.0,138.0
SRR16124287,15.41728,57.0,120.0
SRR16124288,53.19665000000001,75.0,201.0
SRR16124289,33.23065,65.0,143.0
SRR16124290,61.949270000000006,51.0,97.0
SRR16124291,54.95014,55.0,129.0
SRR16124292,40.55644,73.0,179.0
SRR16124293,76.82607000000002,42.0,92.0
SRR16124294,34.454190000000004,65.0,165.0
SRR16124295,67.44608000000001,64.0,144.0
SRR16124296,28.48093,63.0,127.0
SRR16124297,27.89894,72.0,148.0
SRR16124298,50.74849000000001,79.0,184.0
SRR16124299,87.67607000000001,27.0,95.0
SRR16124300,46.85820999999999,58.0,118.0
SRR16124301,33.70171000000001,68.0,153.0
SRR16124302,40.79363,20.0,41.0
SRR16124303,43.36557999999999,52.0,129.0
SRR16124304,22.586550000000003,66.0,152.0
SRR16124305,9.34662,59.0,133.0
SRR16124306,26.838809999999995,57.0,133.0
SRR16124307,53.263980000000004,71.0,167.0
SRR16124308,35.43676,46.0,84.0
SRR16124309,22.798129999999997,73.0,191.0
SRR16124310,50.51706000000001,52.0,87.0
SRR16124311,43.27907,35.0,82.0
SRR16124312,31.918689999999998,68.0,152.0
SRR16124313,94.28199000000001,45.0,93.0
SRR16124314,87.87645,56.0,130.0
SRR16124315,68.34133,53.0,129.0
SRR16124316,44.7264,57.0,145.0
SRR16124317,53.358880000000006,71.0,146.0
SRR16124318,69.93346999999997,47.0,96.0
SRR16124319,54.51368,66.0,131.0
SRR16124320,70.64881000000001,16.0,25.0
SRR16124321,44.69641000000001,60.0,124.0
SRR16124322,52.18694,45.0,90.0
SRR16124323,47.88681999999999,43.0,102.0
SRR16124324,48.39094,49.0,109.0
SRR16124325,75.74686,29.0,60.0
SRR16124326,65.99628,48.0,88.0
SRR16124327,73.77273999999998,22.0,41.0
SRR16124328,61.35694999999999,49.0,121.0
SRR16124329,70.27094,44.0,91.0
SRR16124330,22.890749999999997,63.0,124.0
SRR16124331,86.34031999999999,31.0,54.0
SRR16124332,31.43362,72.0,177.0
SRR16124333,51.20088,64.0,146.0
SRR16124334,53.16008999999999,62.0,128.0
SRR16124335,26.160910000000005,69.0,155.0
SRR16124336,53.73202,70.0,179.0
SRR16124337,58.84634,54.0,114.0
SRR16124338,4.823650000000001,46.0,98.0
SRR16124339,52.88736,40.0,81.0
SRR16124340,53.75899,43.0,97.0
SRR16124341,62.788499999999985,78.0,167.0
SRR16124342,38.8833,80.0,190.0
SRR16124343,42.06811999999999,77.0,186.0
SRR16124344,53.087579999999996,56.0,113.0
SRR16124345,28.377140000000004,23.0,41.0
SRR16124346,19.20691,59.0,129.0
SRR16124347,67.74981,33.0,77.0
SRR16124348,47.47603000000001,73.0,187.0
SRR16124349,39.49101999999999,78.0,187.0
SRR16124350,66.54721,47.0,91.0
SRR16124351,84.00400000000002,38.0,70.0
SRR16124352,24.9102,81.0,220.0
SRR16124353,69.30432000000002,57.0,116.0
SRR16124354,56.53269,63.0,143.0
SRR16124355,49.54343,64.0,142.0
SRR16124356,59.658940000000015,52.0,107.0
SRR16124357,60.6466,52.0,106.0
SRR16124358,53.76055999999999,30.0,66.0
SRR16124359,63.46300000000001,73.0,154.0
SRR16124360,63.68524000000001,42.0,88.0
SRR16124361,37.79649,76.0,165.0
SRR16124362,59.77574,61.0,145.0
SRR16124363,55.77223000000001,39.0,76.0
SRR16124364,61.33204,52.0,107.0
SRR16124365,51.17738000000001,38.0,78.0
SRR16124366,29.269470000000002,66.0,151.0
SRR16124367,88.40741999999999,33.0,62.0
