cohort,auc,n_train,n_test,n_features,excluded_cohorts
FengQ_2015,0.7933000712758375,1232,107,5000,
GuptaA_2019,0.7733333333333334,1279,60,5000,
ThomasAM_2018a,0.6580459770114943,1226,53,5000,ThomasAM_2018b
ThomasAM_2018b,0.5703124999999999,1226,60,5000,ThomasAM_2018a
ThomasAM_2019_c,0.658125,751,80,5000,YachidaS_2019
VogtmannE_2016,0.606508875739645,1235,104,5000,
WirbelJ_2018,0.8117948717948718,1214,125,5000,
YachidaS_2019,0.5827286821705426,751,508,5000,ThomasAM_2019_c
YuJ_2015,0.713963963963964,1211,128,5000,
ZellerG_2014,0.7646149087534797,1225,114,5000,
