held_out_cohort,rank,gene_id,n_nonzero,total_abundance,n_cohorts,prevalence,mean_abundance
VogtmannE_2016,1,UniRef90_A7B5X2,1234,0.51073941501,9,0.9991902834008097,0.00041355418219433195
VogtmannE_2016,2,UniRef90_A5KRL1,1233,0.202097884671,9,0.9983805668016195,0.00016364201187935224
VogtmannE_2016,3,UniRef90_A8S6F0,1233,0.169129286771,9,0.9983805668016195,0.0001369467909076923
VogtmannE_2016,4,UniRef90_A5ZTV7,1233,0.15141685148700001,9,0.9983805668016195,0.00012260473804615385
VogtmannE_2016,5,UniRef90_A0A329UIW4,1233,0.084739633132,9,0.9983805668016195,6.86150875562753e-05
VogtmannE_2016,6,UniRef90_G2T0F8,1233,0.060441040904,9,0.9983805668016195,4.894011409230769e-05
VogtmannE_2016,7,UniRef90_O52836,1233,0.035704298661100003,9,0.9983805668016195,2.8910363288340084e-05
VogtmannE_2016,8,UniRef90_A7B5X1,1232,0.328208235825,9,0.9975708502024292,0.00026575565653846157
VogtmannE_2016,9,UniRef90_A5Z319,1232,0.23073733629800003,9,0.9975708502024292,0.0001868318512534413
VogtmannE_2016,10,UniRef90_A5Z511,1232,0.163703096952,9,0.9975708502024292,0.0001325531149408907
VogtmannE_2016,11,UniRef90_A0A3E5E271,1232,0.1034486663536,9,0.9975708502024292,8.376410231060729e-05
VogtmannE_2016,12,UniRef90_A0A1E3U755,1232,0.099788603282,9,0.9975708502024292,8.08004884874494e-05
VogtmannE_2016,13,UniRef90_E9RZN0,1232,0.09441142526299999,9,0.9975708502024292,7.644649818866395e-05
VogtmannE_2016,14,UniRef90_B0PBV1,1232,0.09025992990699999,9,0.9975708502024292,7.308496348744939e-05
VogtmannE_2016,15,UniRef90_A0A1C5SJL7,1232,0.055602868244,9,0.9975708502024292,4.502256537975709e-05
VogtmannE_2016,16,UniRef90_R9J210,1232,0.046394511081,9,0.9975708502024292,3.7566405733603235e-05
VogtmannE_2016,17,UniRef90_A5KR94,1231,0.080927480673,9,0.9967611336032388,6.552832443157895e-05
VogtmannE_2016,18,UniRef90_A0A2A7BHE3,1231,0.0410253167363,9,0.9967611336032388,3.3218879948421054e-05
VogtmannE_2016,19,UniRef90_A0A2G5ZAL1,1231,0.03061080938,9,0.9967611336032388,2.4786080469635627e-05
VogtmannE_2016,20,UniRef90_P10952,1231,0.030125375849,9,0.9967611336032388,2.439301688178138e-05
VogtmannE_2016,21,UniRef90_A0A373N964,1231,0.0265529818689,9,0.9967611336032388,2.1500390177246965e-05
VogtmannE_2016,22,UniRef90_D1KAJ3,1230,0.126707192578,9,0.9959514170040485,0.00010259691706720648
VogtmannE_2016,23,UniRef90_A7B8Q0,1230,0.10159591519899999,9,0.9959514170040485,8.226389894655869e-05
VogtmannE_2016,24,UniRef90_A0A174CTY8,1230,0.05029651558,9,0.9959514170040485,4.07259235465587e-05
VogtmannE_2016,25,UniRef90_G8FXM5,1230,0.038367736151000004,9,0.9959514170040485,3.1066992834817815e-05
VogtmannE_2016,26,UniRef90_A0A176U927,1229,0.0863701839034,9,0.9951417004048583,6.99353715817004e-05
VogtmannE_2016,27,UniRef90_A0A396GB52,1229,0.053688716848,9,0.9951417004048583,4.347264522105263e-05
VogtmannE_2016,28,UniRef90_A0A136WGM7,1229,0.048052288049000004,9,0.9951417004048583,3.890873526234818e-05
VogtmannE_2016,29,UniRef90_B0P4F9,1229,0.04626920785,9,0.9951417004048583,3.746494562753037e-05
VogtmannE_2016,30,UniRef90_A0A0S2W775,1229,0.038701335894,9,0.9951417004048583,3.1337114084210525e-05
VogtmannE_2016,31,UniRef90_A0A0P6IRT9,1229,0.038063479933,9,0.9951417004048583,3.0820631524696354e-05
VogtmannE_2016,32,UniRef90_B6FSS6,1229,0.034245626878,9,0.9951417004048583,2.7729252532793523e-05
VogtmannE_2016,33,UniRef90_A0A176U5Z8,1229,0.0299836341693,9,0.9951417004048583,2.4278246290931175e-05
VogtmannE_2016,34,UniRef90_C0BDI2,1228,0.106378928097,9,0.994331983805668,8.613678388421053e-05
VogtmannE_2016,35,UniRef90_G9RSQ0,1228,0.048980881613,9,0.994331983805668,3.9660632885020246e-05
VogtmannE_2016,36,UniRef90_D4C6N2,1228,0.032983268594,9,0.994331983805668,2.6707100076113358e-05
VogtmannE_2016,37,UniRef90_T4C374,1228,0.0279189854576,9,0.994331983805668,2.260646595757085e-05
VogtmannE_2016,38,UniRef90_A8RDX0,1228,0.023907830267,9,0.994331983805668,1.9358567017813765e-05
VogtmannE_2016,39,UniRef90_A0A2I7ZEY3,1228,0.019757425679,9,0.994331983805668,1.5997915529554657e-05
