held_out_cohort,rank,gene_id,n_nonzero,total_abundance,n_cohorts,prevalence,mean_abundance
YuJ_2015,1,UniRef90_A7B5X2,1210,0.50067709087,9,0.9991742361684558,0.00041344103292320395
YuJ_2015,2,UniRef90_A5KRL1,1209,0.20185264276099998,9,0.9983484723369116,0.0001666826116936416
YuJ_2015,3,UniRef90_A8S6F0,1209,0.165393749411,9,0.9983484723369116,0.00013657617622708505
YuJ_2015,4,UniRef90_A5ZTV7,1208,0.149265381787,9,0.9975227085053675,0.00012325795358133774
YuJ_2015,5,UniRef90_A0A1E3U755,1208,0.097014752928,9,0.9975227085053675,8.011127409413708e-05
YuJ_2015,6,UniRef90_E9RZN0,1208,0.094154395753,9,0.9975227085053675,7.774929459372419e-05
YuJ_2015,7,UniRef90_A0A329UIW4,1208,0.076556016324,9,0.9975227085053675,6.321718936746491e-05
YuJ_2015,8,UniRef90_G2T0F8,1208,0.057637117479,9,0.9975227085053675,4.7594646968620975e-05
YuJ_2015,9,UniRef90_O52836,1208,0.0355344985201,9,0.9975227085053675,2.9343103649958713e-05
YuJ_2015,10,UniRef90_A7B5X1,1207,0.321298055865,9,0.9966969446738233,0.00026531631367877786
YuJ_2015,11,UniRef90_A5Z319,1207,0.226346705988,9,0.9966969446738233,0.0001869089231940545
YuJ_2015,12,UniRef90_A5Z511,1207,0.160318525742,9,0.9966969446738233,0.00013238524008422792
YuJ_2015,13,UniRef90_A0A3E5E271,1207,0.1010043599336,9,0.9966969446738233,8.340574726143683e-05
YuJ_2015,14,UniRef90_B0PBV1,1207,0.088754388787,9,0.9966969446738233,7.329016415111478e-05
YuJ_2015,15,UniRef90_A0A1C5SJL7,1207,0.054467701384,9,0.9966969446738233,4.4977457790255987e-05
YuJ_2015,16,UniRef90_R9J210,1207,0.045920186851,9,0.9966969446738233,3.791922943930636e-05
YuJ_2015,17,UniRef90_A0A2G5ZAL1,1207,0.02886285026,9,0.9966969446738233,2.3833897819983483e-05
YuJ_2015,18,UniRef90_D1KAJ3,1206,0.126368008511,9,0.9958711808422791,0.0001043501308926507
YuJ_2015,19,UniRef90_A5KR94,1206,0.080891511313,9,0.9958711808422791,6.679728432122213e-05
YuJ_2015,20,UniRef90_A0A2A7BHE3,1206,0.0398724422613,9,0.9958711808422791,3.2925220694715115e-05
YuJ_2015,21,UniRef90_P10952,1206,0.029742727749,9,0.9958711808422791,2.4560468826589596e-05
YuJ_2015,22,UniRef90_A0A373N964,1206,0.0263980000989,9,0.9958711808422791,2.1798513706771264e-05
YuJ_2015,23,UniRef90_A7B8Q0,1205,0.10031789657199999,9,0.9950454170107349,8.283889064574731e-05
YuJ_2015,24,UniRef90_A0A174CTY8,1205,0.048028254186,9,0.9950454170107349,3.9659995199009086e-05
YuJ_2015,25,UniRef90_B0P4F9,1205,0.04558856243,9,0.9950454170107349,3.7645385986787776e-05
YuJ_2015,26,UniRef90_A0A0P6IRT9,1205,0.038337226835,9,0.9950454170107349,3.1657495322047896e-05
YuJ_2015,27,UniRef90_G8FXM5,1205,0.036279731471,9,0.9950454170107349,2.995849006688687e-05
YuJ_2015,28,UniRef90_C0BDI2,1204,0.104686907147,9,0.9942196531791907,8.644666155821635e-05
YuJ_2015,29,UniRef90_A0A176U927,1204,0.0842086794034,9,0.9942196531791907,6.953648175342693e-05
YuJ_2015,30,UniRef90_G9RSQ0,1204,0.052836610007,9,0.9942196531791907,4.363056152518579e-05
YuJ_2015,31,UniRef90_A0A396GB52,1204,0.051982090699000005,9,0.9942196531791907,4.292493038728324e-05
YuJ_2015,32,UniRef90_A0A136WGM7,1204,0.045996022662,9,0.9942196531791907,3.798185190916598e-05
YuJ_2015,33,UniRef90_A0A0S2W775,1204,0.037887676643,9,0.9942196531791907,3.1286273033030556e-05
YuJ_2015,34,UniRef90_B6FSS6,1204,0.033668220182,9,0.9942196531791907,2.780199849876135e-05
YuJ_2015,35,UniRef90_D4C6N2,1204,0.032289800229,9,0.9942196531791907,2.6663749156895128e-05
YuJ_2015,36,UniRef90_A0A176U5Z8,1204,0.0291994835803,9,0.9942196531791907,2.4111877440379852e-05
YuJ_2015,37,UniRef90_A0A0J8Z0N3,1204,0.016332752119,9,0.9942196531791907,1.3486995969446738e-05
YuJ_2015,38,UniRef90_A0A173XT59,1203,0.3545331367029,9,0.9933938893476466,0.0002927606413731627
YuJ_2015,39,UniRef90_A0A174C1Q1,1203,0.03652788037,9,0.9933938893476466,3.0163402452518582e-05
YuJ_2015,40,UniRef90_T4C374,1203,0.0265940569316,9,0.9933938893476466,2.1960410348142032e-05
YuJ_2015,41,UniRef90_A8RDX0,1203,0.023543268444,9,0.9933938893476466,1.9441179557390585e-05
YuJ_2015,42,UniRef90_UPI0003B4B9B1,1203,0.0219278188127,9,0.9933938893476466,1.810719968018167e-05
YuJ_2015,43,UniRef90_A0A2I7ZEY3,1203,0.019142823679000002,9,0.9933938893476466,1.5807451427745665e-05
YuJ_2015,44,UniRef90_A0A116NS82,1203,0.017950174741,9,0.9933938893476466,1.482260507101569e-05
YuJ_2015,45,UniRef90_B0GAB5,1202,0.060447076086,9,0.9925681255161024,4.991500915441784e-05
YuJ_2015,46,UniRef90_A7AZN6,1202,0.051472043137000004,9,0.9925681255161024,4.250375155821635e-05
YuJ_2015,47,UniRef90_A0A1E3AIV3,1202,0.044269994552,9,0.9925681255161024,3.655656032369942e-05
YuJ_2015,48,UniRef90_A7VD49,1202,0.043684126946,9,0.9925681255161024,3.6072772044591245e-05
YuJ_2015,49,UniRef90_A0A174VDA7,1202,0.037985810664,9,0.9925681255161024,3.136730855821635e-05
YuJ_2015,50,UniRef90_C7H3I9,1202,0.035211027975999995,9,0.9925681255161024,2.9075993374071012e-05
YuJ_2015,51,UniRef90_A0A096B5B1,1202,0.031038396015,9,0.9925681255161024,2.5630384818331958e-05
YuJ_2015,52,UniRef90_D4L0W7,1202,0.0269205851697,9,0.9925681255161024,2.223004555714286e-05
YuJ_2015,53,UniRef90_D4JTZ5,1202,0.025633734531,9,0.9925681255161024,2.116741084310487e-05
YuJ_2015,54,UniRef90_A0A1V5J5Q1,1202,0.01732595857,9,0.9925681255161024,1.4307149933938895e-05
YuJ_2015,55,UniRef90_A7AJP8,1201,0.8304759762164999,9,0.9917423616845582,0.000685777024125929
