held_out_cohort,rank,gene_id,n_nonzero,total_abundance,n_cohorts,prevalence,mean_abundance
ZellerG_2014,1,UniRef90_A7B5X2,1224,0.50754317697,9,0.9991836734693877,0.0004143209607918367
ZellerG_2014,2,UniRef90_A5KRL1,1223,0.201928418261,9,0.9983673469387755,0.0001648395251110204
ZellerG_2014,3,UniRef90_A8S6F0,1223,0.169886565808,9,0.9983673469387755,0.00013868291086367347
ZellerG_2014,4,UniRef90_A0A2G5ZAL1,1223,0.0303654416,9,0.9983673469387755,2.4788115591836735e-05
ZellerG_2014,5,UniRef90_A5ZTV7,1222,0.14783668105699999,9,0.9975510204081632,0.00012068300494448979
ZellerG_2014,6,UniRef90_A0A1E3U755,1222,0.098493036322,9,0.9975510204081632,8.040247863020408e-05
ZellerG_2014,7,UniRef90_E9RZN0,1222,0.094710137423,9,0.9975510204081632,7.731439789632652e-05
ZellerG_2014,8,UniRef90_A0A329UIW4,1222,0.082893409374,9,0.9975510204081632,6.766808928489796e-05
ZellerG_2014,9,UniRef90_A5KR94,1222,0.080610590723,9,0.9975510204081632,6.580456385551021e-05
ZellerG_2014,10,UniRef90_G2T0F8,1222,0.059319966454000006,9,0.9975510204081632,4.8424462411428575e-05
ZellerG_2014,11,UniRef90_R9J210,1222,0.045826289711,9,0.9975510204081632,3.740921609061225e-05
ZellerG_2014,12,UniRef90_O52836,1222,0.0356025228011,9,0.9975510204081632,2.906328391926531e-05
ZellerG_2014,13,UniRef90_A7B5X1,1221,0.324833586885,9,0.996734693877551,0.0002651702750081633
ZellerG_2014,14,UniRef90_A5Z319,1221,0.224582167478,9,0.996734693877551,0.00018333238161469386
ZellerG_2014,15,UniRef90_A5Z511,1221,0.162885779462,9,0.996734693877551,0.0001329679832342857
ZellerG_2014,16,UniRef90_A0A3E5E271,1221,0.10285092486360001,9,0.996734693877551,8.395993866416327e-05
ZellerG_2014,17,UniRef90_B0PBV1,1221,0.090040426737,9,0.996734693877551,7.350238917306122e-05
ZellerG_2014,18,UniRef90_A0A1C5SJL7,1221,0.054257735444,9,0.996734693877551,4.429202893387755e-05
ZellerG_2014,19,UniRef90_P10952,1221,0.030092218559,9,0.996734693877551,2.4565076374693878e-05
ZellerG_2014,20,UniRef90_A0A0J8Z0N3,1221,0.016737947155,9,0.996734693877551,1.3663630330612244e-05
ZellerG_2014,21,UniRef90_D1KAJ3,1220,0.128096881747,9,0.9959183673469387,0.00010456888305877552
ZellerG_2014,22,UniRef90_A7B8Q0,1220,0.10184334005,9,0.9959183673469387,8.313742044897959e-05
ZellerG_2014,23,UniRef90_A0A2A7BHE3,1220,0.0384739456773,9,0.9959183673469387,3.1407302593714285e-05
ZellerG_2014,24,UniRef90_A0A0P6IRT9,1220,0.038322613165,9,0.9959183673469387,3.128376584897959e-05
ZellerG_2014,25,UniRef90_A0A373N964,1220,0.0260553827989,9,0.9959183673469387,2.1269700244e-05
ZellerG_2014,26,UniRef90_A0A174CTY8,1219,0.04921159653,9,0.9951020408163266,4.017273186122449e-05
ZellerG_2014,27,UniRef90_B0P4F9,1219,0.04524287459,9,0.9951020408163266,3.69329588489796e-05
ZellerG_2014,28,UniRef90_G8FXM5,1219,0.037086084661,9,0.9951020408163266,3.0274354825306125e-05
ZellerG_2014,29,UniRef90_C0BDI2,1218,0.105011530597,9,0.9942857142857143,8.572369844653061e-05
ZellerG_2014,30,UniRef90_A0A176U927,1218,0.0850629287934,9,0.9942857142857143,6.943912554563264e-05
ZellerG_2014,31,UniRef90_G9RSQ0,1218,0.052614273163,9,0.9942857142857143,4.295042707183673e-05
