held_out_cohort,training_cohorts,n_training_samples,n_selected_genes
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,1232,5000
GuptaA_2019,FengQ_2015;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,1279,5000
ThomasAM_2018a,FengQ_2015;GuptaA_2019;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,1226,5000
ThomasAM_2018b,FengQ_2015;GuptaA_2019;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,1226,5000
ThomasAM_2019_c,FengQ_2015;GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;VogtmannE_2016;WirbelJ_2018;YuJ_2015;ZellerG_2014,751,5000
VogtmannE_2016,FengQ_2015;GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,1235,5000
WirbelJ_2018,FengQ_2015;GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;YachidaS_2019;YuJ_2015;ZellerG_2014,1214,5000
YachidaS_2019,FengQ_2015;GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;VogtmannE_2016;WirbelJ_2018;YuJ_2015;ZellerG_2014,751,5000
YuJ_2015,FengQ_2015;GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;ZellerG_2014,1211,5000
ZellerG_2014,FengQ_2015;GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015,1225,5000
