cohort,historical_error,risk_error
FengQ_2015,0.03382564000330041,0.06785819093492226
GuptaA_2019,0.11934036677079823,0.07737017713123284
ThomasAM_2018a,0.05199326513455609,0.06491248473701663
ThomasAM_2018b,0.04791763033345315,0.05692329385451716
ThomasAM_2019_c,0.04281647165753674,0.051044573784489955
VogtmannE_2016,0.06957984606095526,0.06634284201704262
WirbelJ_2018,0.060830976497303256,0.08598730004180284
YachidaS_2019,0.12045770002985261,0.3534178657297545
YuJ_2015,0.03839738675374405,0.07419798417896013
ZellerG_2014,0.035578750855183645,0.03898358630423126
