model,cohort,observed_auc,n_target,mean_probability,sd_probability,mean_confidence,mean_entropy,fraction_extreme,species_mean_shift,species_max_shift,species_prevalence_shift,domain_classifier_auc
gene_family_enet,FengQ_2015,0.7933000712758375,107,0.38621161140962834,0.2728922337537848,0.5111750546353003,0.7050190352903138,0.22429906542056074,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
joint_rf,FengQ_2015,0.8328581610833927,107,0.47872044944848596,0.12204975099833447,0.20582478674478785,0.9545334943458836,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
joint_xgb,FengQ_2015,0.8439059158945117,107,0.3842138467078036,0.34788386747792654,0.6742010846142178,0.5241426608005194,0.45794392523364486,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
mechanism_only,FengQ_2015,0.5602280826799715,107,0.5053189011231273,0.06267722623223347,0.0902979575374733,0.9883491630050601,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
mechanism_plus_parent,FengQ_2015,0.6568068424803991,107,0.5054519606218622,0.09675008883228542,0.15681988609723863,0.9724054331078489,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
parent_species_only,FengQ_2015,0.6628652886671418,107,0.5048114603518525,0.09193809913371756,0.1547971654391348,0.9752092921230645,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
pathway_rf,FengQ_2015,0.8303635067712045,107,0.47801893830801573,0.1400959565131061,0.24155715335100666,0.9400972009327926,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
species_rf,FengQ_2015,0.8399857448325017,107,0.4779573323778269,0.15294778743548096,0.2632199094143596,0.9284926652934089,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
species_source_only,FengQ_2015,0.8221667854597292,107,0.49836574903661024,0.14539838172456282,0.237914958398624,0.9367244230621291,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
stratified_joint_rf,FengQ_2015,0.7972202423378475,107,0.4935308461105162,0.10936422097935299,0.1755885374501189,0.9644319920027044,0.0,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
stratified_joint_xgb,FengQ_2015,0.8602993585174625,107,0.3672091264737918,0.3507666743316393,0.6934936035165529,0.5013910228854175,0.5233644859813084,0.35377300272084605,2.2195164149548585,0.13203829798736544,0.9779251122709067
