gene_id,archived_representative_binomials,matched_parent_species_columns,n_matched_parent_species,mapping_status,mapping_rule
UniRef90_A0A069DBF6,Bacteroides graminisolvens,,0,no_exact_match,exact_binomial_only_no_synonyms
UniRef90_A0A081TLD1,Bacteroides fragilis;Bacteroides salyersiae;Bacteroides sp.;Butyricimonas paravirosa,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis;k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,2,exact_multiple_matches,exact_binomial_only_no_synonyms
UniRef90_A0A0E2AL27,Bacteroides fragilis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_A0A192CAU6,Escherichia coli,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_A0A1E3U585,Eisenbergiella tayi,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_A0A1E3UBQ7,Eisenbergiella tayi,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_A0A329TH64,Faecalibacterium prausnitzii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_D6E491,Agathobacter rectalis,,0,no_exact_match,exact_binomial_only_no_synonyms
UniRef90_F7YJA4,Vibrio anguillarum,,0,no_exact_match,exact_binomial_only_no_synonyms
UniRef90_H1B745,Clostridium innocuum;Erysipelotrichaceae bacterium,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_Q8A4A2,Bacteroides thetaiotaomicron,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_R5RC53,Bacteroides fragilis;Bacteroides stercorirosoris;Caudoviricetes sp.,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_R5REJ2,Bacteroides fragilis;Bacteroides sp.,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_R5U7X9,Bacteroides caccae,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_UPI000A0106DD,Clostridium innocuum,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum,1,exact_single_match,exact_binomial_only_no_synonyms
UniRef90_W6P8M8,Bacteroides xylanisolvens,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,1,exact_single_match,exact_binomial_only_no_synonyms
