gene_id,dominant_taxon,cohort,country,n_crc,n_control,crc_prevalence,control_prevalence,prevalence_difference,direction
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,FengQ_2015,AUT,46,61,0.8478260869565217,0.6065573770491803,0.2412687099073414,crc_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,GuptaA_2019,IND,30,30,0.1,0.0,0.1,crc_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,ThomasAM_2018a,ITA,29,24,0.4827586206896552,0.7916666666666666,-0.30890804597701144,control_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,ThomasAM_2018b,ITA,32,28,0.9375,0.8214285714285714,0.1160714285714286,crc_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,ThomasAM_2019_c,JPN,40,40,0.9,0.8,0.09999999999999998,crc_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,VogtmannE_2016,USA,52,52,0.9230769230769231,0.9615384615384616,-0.038461538461538436,control_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,WirbelJ_2018,DEU,60,65,0.95,0.8461538461538461,0.10384615384615381,crc_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,YachidaS_2019,JPN,258,250,0.8217054263565892,0.86,-0.03829457364341082,control_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,YuJ_2015,CHN,74,54,0.8918918918918919,0.9074074074074074,-0.015515515515515554,control_enriched
UniRef90_H1B745,g__Faecalibacterium.s__Faecalibacterium_prausnitzii,ZellerG_2014,FRA,53,61,0.8113207547169812,0.8360655737704918,-0.02474481905351067,control_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,FengQ_2015,AUT,46,61,0.6086956521739131,0.39344262295081966,0.21525302922309342,crc_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,GuptaA_2019,IND,30,30,0.3333333333333333,0.03333333333333333,0.3,crc_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,ThomasAM_2018a,ITA,29,24,0.5862068965517241,0.6666666666666666,-0.08045977011494254,control_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,ThomasAM_2018b,ITA,32,28,0.59375,0.6428571428571429,-0.049107142857142905,control_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,ThomasAM_2019_c,JPN,40,40,0.475,0.525,-0.050000000000000044,control_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,VogtmannE_2016,USA,52,52,0.7307692307692307,0.7115384615384616,0.019230769230769162,crc_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,WirbelJ_2018,DEU,60,65,0.7333333333333333,0.5384615384615384,0.19487179487179485,crc_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,YachidaS_2019,JPN,258,250,0.45348837209302323,0.416,0.03748837209302325,crc_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,YuJ_2015,CHN,74,54,0.6621621621621622,0.6851851851851852,-0.02302302302302306,control_enriched
UniRef90_R5RC53,g__Bacteroides.s__Bacteroides_uniformis,ZellerG_2014,FRA,53,61,0.7735849056603774,0.8032786885245902,-0.02969378286421276,control_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,FengQ_2015,AUT,46,61,0.6956521739130435,0.47540983606557374,0.22024233784746972,crc_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,GuptaA_2019,IND,30,30,0.6,0.26666666666666666,0.3333333333333333,crc_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,ThomasAM_2018a,ITA,29,24,0.5517241379310345,0.75,-0.19827586206896552,control_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,ThomasAM_2018b,ITA,32,28,0.5,0.7142857142857143,-0.2142857142857143,control_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,ThomasAM_2019_c,JPN,40,40,0.85,0.625,0.22499999999999998,crc_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,VogtmannE_2016,USA,52,52,0.7115384615384616,0.8076923076923077,-0.09615384615384615,control_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,WirbelJ_2018,DEU,60,65,0.7833333333333333,0.8,-0.01666666666666672,control_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,YachidaS_2019,JPN,258,250,0.7790697674418605,0.668,0.11106976744186048,crc_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,YuJ_2015,CHN,74,54,0.7837837837837838,0.9074074074074074,-0.12362362362362367,control_enriched
UniRef90_R5REJ2,g__Bacteroides.s__Bacteroides_ovatus,ZellerG_2014,FRA,53,61,0.7735849056603774,0.8360655737704918,-0.062480668110114435,control_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,FengQ_2015,AUT,46,61,0.7608695652173914,0.47540983606557374,0.2854597291518176,crc_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,GuptaA_2019,IND,30,30,0.6666666666666666,0.4,0.2666666666666666,crc_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,ThomasAM_2018a,ITA,29,24,0.6551724137931034,0.7916666666666666,-0.1364942528735632,control_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,ThomasAM_2018b,ITA,32,28,0.59375,0.7857142857142857,-0.1919642857142857,control_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,ThomasAM_2019_c,JPN,40,40,0.875,0.65,0.22499999999999998,crc_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,VogtmannE_2016,USA,52,52,0.7115384615384616,0.8269230769230769,-0.11538461538461531,control_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,WirbelJ_2018,DEU,60,65,0.7833333333333333,0.8461538461538461,-0.06282051282051282,control_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,YachidaS_2019,JPN,258,250,0.8062015503875969,0.704,0.10220155038759693,crc_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,YuJ_2015,CHN,74,54,0.8243243243243243,0.9444444444444444,-0.12012012012012008,control_enriched
UniRef90_W6P8M8,g__Bacteroides.s__Bacteroides_ovatus,ZellerG_2014,FRA,53,61,0.7924528301886793,0.819672131147541,-0.027219300958861714,control_enriched
