gene_id,n_outer_selections,n_heldout_evaluable,heldout_crc_enriched_fraction,heldout_median_auc,heldout_median_prevalence_difference,internal_nomination,external_confirmation_status
UniRef90_A0A0E2AL27,10,10,0.8,0.6347365333605386,0.04026535480023852,True,not_yet_assessed
UniRef90_A0A329TH64,10,10,0.8,0.6113508352769003,0.03689548726467329,True,not_yet_assessed
UniRef90_A0A192CAU6,10,10,0.8,0.6083308678169421,0.05218213717857345,True,not_yet_assessed
UniRef90_A0A081TLD1,10,10,0.8,0.5948509339080459,0.05102602602602596,True,not_yet_assessed
UniRef90_W6P8M8,10,10,0.8,0.5944304733727811,0.01225044722719143,True,not_yet_assessed
UniRef90_R5RC53,10,10,0.8,0.5906656804733728,0.019625394625394588,True,not_yet_assessed
UniRef90_R5REJ2,10,10,0.8,0.5879155614500442,0.010218363437132116,True,not_yet_assessed
UniRef90_A0A069DBF6,10,10,0.8,0.5667973372781065,0.029166964080357183,True,not_yet_assessed
UniRef90_H1B745,9,9,0.8888888888888888,0.5503003003003003,0.044642857142857095,True,not_yet_assessed
UniRef90_Q8A4A2,8,8,0.875,0.5803663267304444,0.022810077519379857,True,not_yet_assessed
UniRef90_D6E491,8,8,0.875,0.5673489422934682,0.023351818723911733,True,not_yet_assessed
UniRef90_F7YJA4,8,8,0.75,0.5584565320844722,0.0632020213096478,True,not_yet_assessed
UniRef90_R5U7X9,7,7,1.0,0.5752564102564103,0.029487179487179382,True,not_yet_assessed
UniRef90_A0A1E3UBQ7,7,7,1.0,0.5577334283677833,0.025000000000000022,True,not_yet_assessed
UniRef90_UPI000A0106DD,7,7,0.8571428571428571,0.5548717948717948,0.02322480620155043,True,not_yet_assessed
UniRef90_A0A1E3U585,7,7,0.8571428571428571,0.551025641025641,0.050000000000000044,True,not_yet_assessed
UniRef90_A0A015TGA7,5,5,0.4,0.5977011494252874,-0.006635658914728615,False,not_yet_assessed
UniRef90_R6HMD9,5,5,0.4,0.5647131782945737,-0.00617054263565886,False,not_yet_assessed
UniRef90_A0A174XPU3,5,5,0.4,0.5576923076923077,-0.018015503875968952,False,not_yet_assessed
UniRef90_A0A174ULY2,5,5,0.4,0.5539069767441861,0.0,False,not_yet_assessed
UniRef90_A0A096C9P0,5,5,0.4,0.542953488372093,0.0,False,not_yet_assessed
UniRef90_Q8AAN7,5,5,0.4,0.5390625,0.0,False,not_yet_assessed
UniRef90_K1GFZ0,5,5,0.4,0.5333953488372093,-0.010511627906976684,False,not_yet_assessed
UniRef90_Q5LGR5,5,5,0.4,0.5301724137931034,0.0,False,not_yet_assessed
UniRef90_I9VT34,5,5,0.6,0.49697674418604654,0.008744186046511615,False,not_yet_assessed
UniRef90_Q8A0X7,4,4,0.25,0.581095269672856,-0.013869638869638823,False,not_yet_assessed
UniRef90_K5DFH8,4,4,0.25,0.5806042984424947,-0.028483309143686464,False,not_yet_assessed
UniRef90_A0A0K6BZ65,4,4,0.25,0.5800346867986126,-0.010256410256410275,False,not_yet_assessed
UniRef90_A0A3E5H1E2,4,4,0.25,0.5695767020335986,-0.021267421267421316,False,not_yet_assessed
UniRef90_D4VQH3,4,4,0.25,0.5680494626946881,-0.013869638869638823,False,not_yet_assessed
UniRef90_E1WWW7,4,4,0.25,0.5647508161599673,-0.02990197244759568,False,not_yet_assessed
UniRef90_I9RD05,4,4,0.25,0.561961813994079,-0.01254946981052768,False,not_yet_assessed
UniRef90_A0A0P0FEI0,4,4,0.25,0.5615924471196354,-0.013869638869638823,False,not_yet_assessed
UniRef90_A0A174LXZ3,4,4,0.25,0.5611864925525403,-0.010256410256410275,False,not_yet_assessed
UniRef90_K1GB77,4,4,0.25,0.5595647997007414,-0.02348502348502346,False,not_yet_assessed
UniRef90_Q8A5V6,4,4,0.25,0.5586189893219071,-0.013869638869638823,False,not_yet_assessed
UniRef90_Q5LIJ3,4,4,0.25,0.5569356593892403,-0.010719771495633579,False,not_yet_assessed
UniRef90_R6JIG2,4,4,0.25,0.5553968577841257,-0.02348502348502346,False,not_yet_assessed
UniRef90_A0A374W8G2,4,4,0.25,0.5552781582784676,-0.004948963810702145,False,not_yet_assessed
UniRef90_Q5LHS7,4,4,0.25,0.5549290044482352,-0.04235966735966734,False,not_yet_assessed
UniRef90_C3QHA8,4,4,0.25,0.5538559307624294,-0.04271579271579273,False,not_yet_assessed
UniRef90_R5U8M7,4,4,0.25,0.5534691049445691,-0.013869638869638823,False,not_yet_assessed
UniRef90_A0A396DXP6,4,4,0.25,0.5525466741481331,-0.008217268993131077,False,not_yet_assessed
UniRef90_U2E1W9,4,4,0.25,0.5521109637488948,-0.02990197244759568,False,not_yet_assessed
UniRef90_A0A3E5DY27,4,4,0.25,0.5520064085214971,-0.029539127745128346,False,not_yet_assessed
UniRef90_Q8A255,4,4,0.25,0.550895225464191,-0.02990197244759568,False,not_yet_assessed
UniRef90_A0A396BUW3,4,4,0.25,0.5499579167516833,-0.04661392161392164,False,not_yet_assessed
UniRef90_A0A174M1S5,4,4,0.25,0.5492627743755685,-0.003711722858026567,False,not_yet_assessed
UniRef90_Q89ZV6,4,4,0.25,0.5462299360674692,-0.021523828784886567,False,not_yet_assessed
UniRef90_Q8A7Z6,4,4,0.25,0.5454966673468,-0.013869638869638823,False,not_yet_assessed
UniRef90_R5U6R9,4,4,0.25,0.5438260899136231,-0.010256410256410275,False,not_yet_assessed
UniRef90_Q5LDK8,4,4,0.25,0.5424105624702442,-0.02348502348502346,False,not_yet_assessed
UniRef90_A0A143WWX7,4,4,0.25,0.542170902014652,-0.009615384615384637,False,not_yet_assessed
UniRef90_A0A0K6BT56,4,4,0.25,0.5409248203719357,-0.004254254254254242,False,not_yet_assessed
UniRef90_A0A3E4UZ17,4,4,0.25,0.5337427325581395,-0.01350775193798448,False,not_yet_assessed
UniRef90_C9KR75,4,4,0.25,0.531253301986475,-0.05182337509923718,False,not_yet_assessed
UniRef90_C6IIK9,4,4,0.25,0.5296856933959055,-0.035807359083221135,False,not_yet_assessed
UniRef90_A0A174BG28,4,4,0.25,0.5259088281303136,-0.013869638869638823,False,not_yet_assessed
UniRef90_Q8AAP2,4,4,0.25,0.5258652570903898,-0.021705251136120263,False,not_yet_assessed
UniRef90_R6VDS6,4,4,0.75,0.5232435344827586,0.027003599114064247,False,not_yet_assessed
UniRef90_A0A3E5DM19,4,4,0.75,0.5162734980620155,0.005423609656167838,False,not_yet_assessed
UniRef90_G9YSZ3,4,4,0.25,0.5138650412087912,-0.029539127745128346,False,not_yet_assessed
UniRef90_A0A158T0E6,4,4,0.25,0.4582867482867483,-0.03350850850850845,False,not_yet_assessed
UniRef90_R5UTP4,3,3,0.0,0.6371371371371372,-0.00350350350350348,False,not_yet_assessed
UniRef90_A0A015P063,3,3,0.0,0.5887573964497042,-0.03125,False,not_yet_assessed
