held_out_cohort,training_cohorts,selection_rank,gene_id,n_training_cohorts,n_crc_enriched_training,training_median_auc,training_median_prevalence_difference,training_crc_enriched_fraction,heldout_country,heldout_evaluable,heldout_crc_prevalence,heldout_control_prevalence,heldout_prevalence_difference,heldout_association_auc,heldout_direction
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,1,UniRef90_A0A0E2AL27,9,7,0.6293103448275862,0.03565891472868221,0.7777777777777778,AUT,True,0.9347826086956522,0.7377049180327869,0.1970776906628653,0.6432644333570919,crc_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,2,UniRef90_A0A329TH64,9,7,0.6264792899408284,0.03361240310077518,0.7777777777777778,AUT,True,0.9565217391304348,0.8360655737704918,0.12045616535994297,0.5962223806129722,crc_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,3,UniRef90_A0A192CAU6,9,7,0.6031549644293226,0.07692307692307698,0.7777777777777778,AUT,True,0.9782608695652174,0.9508196721311475,0.02744119743406992,0.6135067712045617,crc_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,4,UniRef90_A0A081TLD1,9,7,0.5934375,0.04999999999999993,0.7777777777777778,AUT,True,0.8260869565217391,0.6229508196721312,0.20313613684960796,0.6617961511047755,crc_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,5,UniRef90_B2PX02,9,7,0.5904732446643984,0.038461538461538436,0.7777777777777778,AUT,True,0.9782608695652174,0.9836065573770492,-0.005345687811831756,0.5265502494654312,control_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,6,UniRef90_A7AXY2,9,7,0.588974358974359,0.025000000000000022,0.7777777777777778,AUT,True,0.9565217391304348,0.9672131147540983,-0.010691375623663513,0.4918032786885246,control_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,7,UniRef90_F7YJA4,9,7,0.5876479289940828,0.05512820512820504,0.7777777777777778,AUT,True,0.9565217391304348,0.8852459016393442,0.07127583749109057,0.5648610121168923,crc_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,8,UniRef90_R5RC53,9,7,0.58,0.019230769230769162,0.7777777777777778,AUT,True,0.9347826086956522,0.6885245901639344,0.2462580185317178,0.6776550249465432,crc_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,9,UniRef90_W6P8M8,9,7,0.5765532544378699,0.00911627906976753,0.7777777777777778,AUT,True,0.9565217391304348,0.7540983606557377,0.20242337847469716,0.6596578759800428,crc_enriched
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,10,UniRef90_Q8A4A2,9,7,0.5736986986986987,0.02062015503875969,0.7777777777777778,AUT,True,0.9782608695652174,0.8032786885245902,0.17498218104062724,0.68496079828938,crc_enriched
