held_out_cohort,training_cohorts,selection_rank,gene_id,n_training_cohorts,n_crc_enriched_training,training_median_auc,training_median_prevalence_difference,training_crc_enriched_fraction
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,1,UniRef90_A0A0E2AL27,9,7,0.6293103448275862,0.03565891472868221,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,2,UniRef90_A0A329TH64,9,7,0.6264792899408284,0.03361240310077518,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,3,UniRef90_A0A192CAU6,9,7,0.6031549644293226,0.07692307692307698,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,4,UniRef90_A0A081TLD1,9,7,0.5934375,0.04999999999999993,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,5,UniRef90_B2PX02,9,7,0.5904732446643984,0.038461538461538436,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,6,UniRef90_A7AXY2,9,7,0.588974358974359,0.025000000000000022,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,7,UniRef90_F7YJA4,9,7,0.5876479289940828,0.05512820512820504,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,8,UniRef90_R5RC53,9,7,0.58,0.019230769230769162,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,9,UniRef90_W6P8M8,9,7,0.5765532544378699,0.00911627906976753,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,10,UniRef90_Q8A4A2,9,7,0.5736986986986987,0.02062015503875969,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,11,UniRef90_A0A069DBF6,9,7,0.56,0.014102564102564052,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,12,UniRef90_D6E491,9,7,0.5595595595595596,0.019230769230769162,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,13,UniRef90_R5REJ2,9,7,0.5589080459770115,0.008992248062015484,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,14,UniRef90_UPI000A0106DD,9,7,0.5588888888888889,0.011444478812248748,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,15,UniRef90_A0A2N5NXF3,9,7,0.5543639053254438,0.02924031007751937,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,16,UniRef90_A0A1E3UBQ7,9,7,0.5530467058459635,0.025000000000000022,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,17,UniRef90_A0A1E3U585,9,7,0.551025641025641,0.024372093023255825,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,18,UniRef90_H1B745,9,7,0.5503003003003003,0.022888957624497386,0.7777777777777778
FengQ_2015,GuptaA_2019;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,19,UniRef90_R5U7X9,9,7,0.5502015503875969,0.017857142857142905,0.7777777777777778
GuptaA_2019,FengQ_2015;ThomasAM_2018a;ThomasAM_2018b;ThomasAM_2019_c;VogtmannE_2016;WirbelJ_2018;YachidaS_2019;YuJ_2015;ZellerG_2014,1,UniRef90_A0A0E2AL27,9,7,0.6293103448275862,0.03565891472868221,0.7777777777777778
