gene_id,n_evaluable_folds,positive_delta_fraction,median_parent_auc,median_combined_auc,median_delta_auc,parent_adjustment_gate
UniRef90_A0A069DBF6,0,,,,,not_evaluable
UniRef90_D6E491,0,,,,,not_evaluable
UniRef90_F7YJA4,0,,,,,not_evaluable
UniRef90_A0A329TH64,10,0.6,0.5687417954859888,0.5712497326917936,0.015395780395780323,not_passed
UniRef90_UPI000A0106DD,10,0.6,0.5205459770114943,0.5287589315619069,0.013702015334848855,not_passed
UniRef90_A0A0E2AL27,10,0.7,0.6141284941848603,0.6293574401200916,0.013346693617419192,not_passed
UniRef90_A0A1E3U585,10,0.7,0.6051971964837254,0.6227634099616859,0.009131944444444373,not_passed
UniRef90_A0A1E3UBQ7,10,0.6,0.6051971964837254,0.6046143018018018,0.005159868048321248,not_passed
UniRef90_R5U7X9,10,0.5,0.568571854502087,0.573453488372093,0.0036719626603348154,not_passed
UniRef90_Q8A4A2,10,0.5,0.5738371048850575,0.5796650854900418,0.0021046022824556254,not_passed
UniRef90_A0A192CAU6,10,0.6,0.6392316330235748,0.618388216073029,0.001916916916916922,not_passed
UniRef90_A0A081TLD1,10,0.5,0.6395600875287262,0.6385727643447068,7.951183431947895e-05,not_passed
UniRef90_W6P8M8,10,0.7,0.49629869186046516,0.5587751223056607,0.04298356054530872,pass
UniRef90_H1B745,10,0.8,0.5205459770114943,0.5542297259950547,0.038864820919458365,pass
UniRef90_R5RC53,10,0.7,0.6141284941848603,0.6342629158024738,0.037515633615298694,pass
UniRef90_R5REJ2,10,0.7,0.6141284941848603,0.6178229783037475,0.02116537467700258,pass
