reference_id,profile_species_name,control_prevalence,control_prevalence_rank,selection_status
faecalibacterium_a2_165,Faecalibacterium_prausnitzii,0.9533834586466166,1,mapped_to_frozen_control_profile
bacteroides_uniformis_8492,Bacteroides_uniformis,0.9278195488721804,2,mapped_to_frozen_control_profile
phocaeicola_vulgatus_8482,Bacteroides_vulgatus,0.8736842105263158,4,mapped_to_frozen_control_profile
roseburia_inulinivorans_16841,Roseburia_inulinivorans,0.8285714285714286,11,mapped_to_frozen_control_profile
parabacteroides_distasonis_8503,Parabacteroides_distasonis,0.8451127819548873,10,mapped_to_frozen_control_profile
bacteroides_thetaiotaomicron_vpi5482,Bacteroides_thetaiotaomicron,0.8135338345864662,13,mapped_to_frozen_control_profile
bifidobacterium_longum_ncc2705,Bifidobacterium_longum,0.8045112781954887,16,mapped_to_frozen_control_profile
bacteroides_ovatus_8483,Bacteroides_ovatus,0.8045112781954887,16,mapped_to_frozen_control_profile
agathobacter_rectalis_33656,Eubacterium_rectale,0.7654135338345864,21,mapped_to_frozen_control_profile
roseburia_intestinalis_l1_82,Roseburia_intestinalis,0.6556390977443609,40,mapped_to_frozen_control_profile
human_grch38_p14,not_applicable,,,human_reference_not_applicable
