cohort,rf_auc,xgb_auc,rf_n_features,xgb_n_features
FengQ_2015,0.8328581610833927,0.8439059158945117,634,634
GuptaA_2019,0.9122222222222222,0.8855555555555557,634,634
ThomasAM_2018a,0.8433908045977012,0.742816091954023,633,633
ThomasAM_2018b,0.7912946428571428,0.7611607142857143,633,633
ThomasAM_2019_c,0.7775,0.81875,633,633
VogtmannE_2016,0.7196745562130178,0.7340976331360946,634,634
WirbelJ_2018,0.852051282051282,0.86,635,635
YachidaS_2019,0.6685271317829458,0.694015503875969,633,633
YuJ_2015,0.8193193193193193,0.8188188188188188,631,631
ZellerG_2014,0.8261676461490874,0.8113207547169811,633,633
