cohort,gene_id,n_samples,n_nonzero,total_abundance
FengQ_2015,UniRef90_P19337,107,17,8.801653e-06
ThomasAM_2018a,UniRef90_P19337,53,3,2.438985e-06
ThomasAM_2018b,UniRef90_P19337,60,6,3.158857e-06
ThomasAM_2019_c,UniRef90_P19337,80,10,5.0902844e-06
VogtmannE_2016,UniRef90_P19337,104,12,3.929296e-06
WirbelJ_2018,UniRef90_P19337,125,8,3.6633509e-06
YachidaS_2019,UniRef90_P19337,508,67,2.83463896e-05
YuJ_2015,UniRef90_P19337,128,22,1.96808777e-05
ZellerG_2014,UniRef90_P19337,114,11,4.5793687e-06
FengQ_2015,UniRef90_P19409,107,11,5.401757e-06
ThomasAM_2018a,UniRef90_P19409,53,2,3.043914e-07
ThomasAM_2018b,UniRef90_P19409,60,3,1.727137e-06
ThomasAM_2019_c,UniRef90_P19409,80,10,3.6064466e-06
VogtmannE_2016,UniRef90_P19409,104,6,1.990933e-06
WirbelJ_2018,UniRef90_P19409,125,4,3.107873e-06
YachidaS_2019,UniRef90_P19409,508,57,1.97486369e-05
YuJ_2015,UniRef90_P19409,128,22,1.53924316e-05
ZellerG_2014,UniRef90_P19409,114,9,4.737602e-06
FengQ_2015,UniRef90_P19410,107,12,5.830092e-06
ThomasAM_2018a,UniRef90_P19410,53,2,2.707932e-07
ThomasAM_2018b,UniRef90_P19410,60,5,2.214145e-06
ThomasAM_2019_c,UniRef90_P19410,80,10,4.298777e-06
VogtmannE_2016,UniRef90_P19410,104,7,2.017638e-06
WirbelJ_2018,UniRef90_P19410,125,6,3.436851e-06
YachidaS_2019,UniRef90_P19410,508,62,1.9138224e-05
YuJ_2015,UniRef90_P19410,128,20,1.6917794e-05
ZellerG_2014,UniRef90_P19410,114,10,4.900358e-06
FengQ_2015,UniRef90_P19412,107,14,6.871832e-06
ThomasAM_2018b,UniRef90_P19412,60,5,2.700804e-06
ThomasAM_2019_c,UniRef90_P19412,80,10,4.0386385e-06
VogtmannE_2016,UniRef90_P19412,104,7,2.5592981e-06
WirbelJ_2018,UniRef90_P19412,125,8,2.9650121e-06
YachidaS_2019,UniRef90_P19412,508,57,2.12647292e-05
YuJ_2015,UniRef90_P19412,128,19,1.8807409e-05
ZellerG_2014,UniRef90_P19412,114,8,4.3206026e-06
FengQ_2015,UniRef90_P19413,107,15,6.650229e-06
ThomasAM_2018b,UniRef90_P19413,60,6,3.296413e-06
ThomasAM_2019_c,UniRef90_P19413,80,12,5.934248e-06
VogtmannE_2016,UniRef90_P19413,104,10,2.5473311e-06
WirbelJ_2018,UniRef90_P19413,125,8,3.7600931e-06
YachidaS_2019,UniRef90_P19413,508,64,2.54996123e-05
YuJ_2015,UniRef90_P19413,128,21,1.7079844e-05
ZellerG_2014,UniRef90_P19413,114,10,5.225618e-06
FengQ_2015,UniRef90_P32370,107,16,7.220327e-06
GuptaA_2019,UniRef90_P32370,60,2,3.39218e-06
ThomasAM_2018a,UniRef90_P32370,53,2,3.70391e-07
ThomasAM_2018b,UniRef90_P32370,60,6,2.8564366e-06
ThomasAM_2019_c,UniRef90_P32370,80,11,4.4488983e-06
VogtmannE_2016,UniRef90_P32370,104,7,1.914042e-06
WirbelJ_2018,UniRef90_P32370,125,9,4.5785116e-06
YachidaS_2019,UniRef90_P32370,508,68,2.18556602e-05
YuJ_2015,UniRef90_P32370,128,21,1.7030277e-05
ZellerG_2014,UniRef90_P32370,114,10,4.497639e-06
ThomasAM_2018b,UniRef90_P54355,60,5,7.305127e-06
ThomasAM_2019_c,UniRef90_P54355,80,4,1.344448e-05
VogtmannE_2016,UniRef90_P54355,104,12,4.5121233e-05
WirbelJ_2018,UniRef90_P54355,125,6,3.025258e-06
YachidaS_2019,UniRef90_P54355,508,30,7.5529989e-05
YuJ_2015,UniRef90_P54355,128,3,1.35364e-05
