model,cohort,auc,n_train,n_test,n_features,excluded_cohorts
mechanism_only,FengQ_2015,0.5602280826799715,1232,107,6,
mechanism_only,GuptaA_2019,0.5900000000000001,1279,60,6,
mechanism_only,ThomasAM_2018a,0.55316091954023,1226,53,6,ThomasAM_2018b
mechanism_only,ThomasAM_2018b,0.5535714285714286,1226,60,6,ThomasAM_2018a
mechanism_only,ThomasAM_2019_c,0.581875,751,80,6,YachidaS_2019
mechanism_only,VogtmannE_2016,0.5784023668639052,1235,104,6,
mechanism_only,WirbelJ_2018,0.541923076923077,1214,125,6,
mechanism_only,YachidaS_2019,0.5387441860465116,751,508,6,ThomasAM_2019_c
mechanism_only,YuJ_2015,0.6038538538538539,1211,128,6,
mechanism_only,ZellerG_2014,0.5923291060934116,1225,114,6,
parent_species_only,FengQ_2015,0.6628652886671418,1232,107,3,
parent_species_only,GuptaA_2019,0.8294444444444445,1279,60,3,
parent_species_only,ThomasAM_2018a,0.7011494252873564,1226,53,3,ThomasAM_2018b
parent_species_only,ThomasAM_2018b,0.6930803571428572,1226,60,3,ThomasAM_2018a
parent_species_only,ThomasAM_2019_c,0.521875,751,80,3,YachidaS_2019
parent_species_only,VogtmannE_2016,0.7059911242603552,1235,104,3,
parent_species_only,WirbelJ_2018,0.6496153846153847,1214,125,3,
parent_species_only,YachidaS_2019,0.5233023255813953,751,508,3,ThomasAM_2019_c
parent_species_only,YuJ_2015,0.6769269269269268,1211,128,3,
parent_species_only,ZellerG_2014,0.5910918651407362,1225,114,3,
mechanism_plus_parent,FengQ_2015,0.6568068424803991,1232,107,9,
mechanism_plus_parent,GuptaA_2019,0.8583333333333333,1279,60,9,
mechanism_plus_parent,ThomasAM_2018a,0.6781609195402298,1226,53,9,ThomasAM_2018b
mechanism_plus_parent,ThomasAM_2018b,0.6808035714285714,1226,60,9,ThomasAM_2018a
mechanism_plus_parent,ThomasAM_2019_c,0.5446875,751,80,9,YachidaS_2019
mechanism_plus_parent,VogtmannE_2016,0.6708579881656804,1235,104,9,
mechanism_plus_parent,WirbelJ_2018,0.6284615384615385,1214,125,9,
mechanism_plus_parent,YachidaS_2019,0.5183565891472868,751,508,9,ThomasAM_2019_c
mechanism_plus_parent,YuJ_2015,0.6871871871871872,1211,128,9,
mechanism_plus_parent,ZellerG_2014,0.6285184039591711,1225,114,9,
