prev_threshold,mean_threshold,n_pathways_mean,n_features_mean,mean_auc,std_auc
0.05,1e-07,438.6,667.6,0.7962441989498652,0.08935492106214002
0.05,1e-06,405.4,634.4,0.7913183787758913,0.09060286069958458
0.05,1e-05,318.4,547.4,0.784433725875335,0.08999456974558705
0.05,0.0001,151.8,380.8,0.8283744828028645,0.07158204138624503
0.05,0.001,2.0,231.0,0.8352607082041976,0.05406049580677271
0.1,1e-07,420.2,649.2,0.7890886571741451,0.08185602356724876
0.1,1e-06,403.0,632.0,0.7884067439547737,0.08917104142273638
0.1,1e-05,318.4,547.4,0.784433725875335,0.08999456974558705
0.1,0.0001,151.8,380.8,0.8283744828028645,0.07158204138624503
0.1,0.001,2.0,231.0,0.8352607082041976,0.05406049580677271
0.15,1e-07,402.0,631.0,0.7929172841591765,0.09156878412403198
0.15,1e-06,392.4,621.4,0.7806336469499442,0.09312590603730432
0.15,1e-05,318.4,547.4,0.784433725875335,0.08999456974558705
0.15,0.0001,151.8,380.8,0.8283744828028645,0.07158204138624503
0.15,0.001,2.0,231.0,0.8352607082041976,0.05406049580677271
0.2,1e-07,384.2,613.2,0.7909394820278456,0.09103983293934734
0.2,1e-06,379.0,608.0,0.7842136217281857,0.09067058492560354
0.2,1e-05,318.4,547.4,0.784433725875335,0.08999456974558705
0.2,0.0001,151.8,380.8,0.8283744828028645,0.07158204138624503
0.2,0.001,2.0,231.0,0.8352607082041976,0.05406049580677271
