cohort,model,auc,n
FengQ_2015,species_rf,0.8182466143977191,107
GuptaA_2019,species_rf,0.8288888888888889,60
HanniganGD_2017,species_rf,0.42877492877492884,53
ThomasAM_2018a,species_rf,0.7514367816091954,53
ThomasAM_2018b,species_rf,0.8013392857142858,60
ThomasAM_2019_c,species_rf,0.8225,80
VogtmannE_2016,species_rf,0.7640532544378699,104
WirbelJ_2018,species_rf,0.8828205128205129,125
YachidaS_2019,species_rf,0.700077519379845,508
YuJ_2015,species_rf,0.8703703703703703,128
ZellerG_2014,species_rf,0.8017321373337457,114
FengQ_2015,joint_rf,0.8164647184604419,107
GuptaA_2019,joint_rf,0.9022222222222223,60
HanniganGD_2017,joint_rf,0.5811965811965811,53
ThomasAM_2018a,joint_rf,0.8175287356321839,53
ThomasAM_2018b,joint_rf,0.7946428571428572,60
ThomasAM_2019_c,joint_rf,0.7643749999999999,80
VogtmannE_2016,joint_rf,0.7292899408284024,104
WirbelJ_2018,joint_rf,0.8461538461538461,125
YachidaS_2019,joint_rf,0.6688217054263565,508
YuJ_2015,joint_rf,0.8008008008008007,128
ZellerG_2014,joint_rf,0.8153417878131767,114
FengQ_2015,joint_xgb,0.7890235210263721,107
GuptaA_2019,joint_xgb,0.8844444444444444,60
HanniganGD_2017,joint_xgb,0.5284900284900286,53
ThomasAM_2018a,joint_xgb,0.7112068965517242,53
ThomasAM_2018b,joint_xgb,0.7555803571428572,60
ThomasAM_2019_c,joint_xgb,0.7837500000000001,80
VogtmannE_2016,joint_xgb,0.7736686390532544,104
WirbelJ_2018,joint_xgb,0.8661538461538462,125
YachidaS_2019,joint_xgb,0.6943255813953488,508
YuJ_2015,joint_xgb,0.8285785785785786,128
ZellerG_2014,joint_xgb,0.8122486854314879,114
