feature,mean_abs_shap
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis,0.01383029041625118
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,0.013406257507449658
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra,0.011813522135727093
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum,0.008520539031973993
PWY-7400: L-arginine biosynthesis IV (archaebacteria),0.008180559093581303
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.007309428000320701
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,0.006878996043715669
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),0.005745794082913318
PWY-2941: L-lysine biosynthesis II,0.00538731589657257
GLUTORN-PWY: L-ornithine biosynthesis,0.005182360745024363
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),0.0048903355648608916
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes,0.004610470111751511
UNINTEGRATED|g__Parvimonas.s__Parvimonas_micra,0.004393764814638308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens,0.004384855252497916
TRPSYN-PWY: L-tryptophan biosynthesis,0.004382104453350516
PWY0-1296: purine ribonucleosides degradation,0.004121606648777931
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),0.004070449931388819
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium,0.003982893005254689
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified,0.003893283665978386
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|unclassified,0.003826274979611854
PWY-1042: glycolysis IV (plant cytosol),0.003701863445621167
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),0.0037013209652395776
