cohort,n_pathways,train_pathway_parent_coverage,test_pathway_parent_coverage,mean_abs_target_log10_offset,max_abs_target_log10_offset,target_distribution_used_for_source_only,target_distribution_used_for_adaptive
FengQ_2015,8978,0.8178881710848741,0.8178881710848741,0.4013788402080536,2.0,False,True
GuptaA_2019,9065,0.8223938223938224,0.8223938223938224,0.46340101957321167,2.0,False,True
ThomasAM_2018a,9037,0.8240566559699015,0.8240566559699015,0.32932552695274353,2.0,False,True
ThomasAM_2018b,9037,0.8240566559699015,0.8240566559699015,0.37885740399360657,2.0,False,True
ThomasAM_2019_c,8646,0.8071940781864446,0.8071940781864446,0.3689565658569336,2.0,False,True
VogtmannE_2016,9028,0.8188967656180771,0.8188967656180771,0.33105966448783875,2.0,False,True
WirbelJ_2018,9044,0.8254091110128262,0.8254091110128262,0.30192831158638,2.0,False,True
YachidaS_2019,8646,0.8071940781864446,0.8071940781864446,0.32426872849464417,2.0,False,True
YuJ_2015,8843,0.8258509555580685,0.8258509555580685,0.2984964847564697,2.0,False,True
ZellerG_2014,9049,0.819648579953586,0.819648579953586,0.3238953649997711,2.0,False,True
