model,cohort,auc,n_train,n_test,n_features,excluded_cohorts
species_source_only,FengQ_2015,0.8221667854597292,1232,107,229,
stratified_source_only,FengQ_2015,0.8036350677120455,1232,107,9207,
stratified_target_adaptive,FengQ_2015,0.8064861012116892,1232,107,9207,
species_source_only,GuptaA_2019,0.9166666666666667,1279,60,229,
stratified_source_only,GuptaA_2019,0.9011111111111111,1279,60,9294,
stratified_target_adaptive,GuptaA_2019,0.8911111111111111,1279,60,9294,
species_source_only,ThomasAM_2018a,0.6882183908045977,1226,53,229,ThomasAM_2018b
stratified_source_only,ThomasAM_2018a,0.7169540229885056,1226,53,9266,ThomasAM_2018b
stratified_target_adaptive,ThomasAM_2018a,0.7356321839080461,1226,53,9266,ThomasAM_2018b
species_source_only,ThomasAM_2018b,0.8549107142857142,1226,60,229,ThomasAM_2018a
stratified_source_only,ThomasAM_2018b,0.7020089285714286,1226,60,9266,ThomasAM_2018a
stratified_target_adaptive,ThomasAM_2018b,0.7098214285714286,1226,60,9266,ThomasAM_2018a
species_source_only,ThomasAM_2019_c,0.8450000000000001,751,80,229,YachidaS_2019
stratified_source_only,ThomasAM_2019_c,0.75,751,80,8875,YachidaS_2019
stratified_target_adaptive,ThomasAM_2019_c,0.77,751,80,8875,YachidaS_2019
species_source_only,VogtmannE_2016,0.7588757396449705,1235,104,229,
stratified_source_only,VogtmannE_2016,0.691568047337278,1235,104,9257,
stratified_target_adaptive,VogtmannE_2016,0.6971153846153846,1235,104,9257,
species_source_only,WirbelJ_2018,0.8974358974358975,1214,125,229,
stratified_source_only,WirbelJ_2018,0.8292307692307692,1214,125,9273,
stratified_target_adaptive,WirbelJ_2018,0.8133333333333334,1214,125,9273,
species_source_only,YachidaS_2019,0.7066046511627906,751,508,229,ThomasAM_2019_c
stratified_source_only,YachidaS_2019,0.6673333333333333,751,508,8875,ThomasAM_2019_c
stratified_target_adaptive,YachidaS_2019,0.6717364341085271,751,508,8875,ThomasAM_2019_c
species_source_only,YuJ_2015,0.8613613613613614,1211,128,229,
stratified_source_only,YuJ_2015,0.8315815815815816,1211,128,9072,
stratified_target_adaptive,YuJ_2015,0.8285785785785786,1211,128,9072,
species_source_only,ZellerG_2014,0.7884317970924837,1225,114,229,
stratified_source_only,ZellerG_2014,0.8348283328178162,1225,114,9278,
stratified_target_adaptive,ZellerG_2014,0.8413238478193628,1225,114,9278,
