model,cohort,auc,n_train,n_test,n_features,excluded_cohorts
rf,FengQ_2015,0.7972202423378475,1232,107,9868,
rf,GuptaA_2019,0.8900000000000001,1279,60,9957,
rf,ThomasAM_2018a,0.7974137931034483,1226,53,9929,ThomasAM_2018b
rf,ThomasAM_2018b,0.6819196428571428,1226,60,9929,ThomasAM_2018a
rf,ThomasAM_2019_c,0.7606250000000001,751,80,9537,YachidaS_2019
rf,VogtmannE_2016,0.6642011834319527,1235,104,9921,
rf,WirbelJ_2018,0.818974358974359,1214,125,9939,
rf,YachidaS_2019,0.6633023255813953,751,508,9537,ThomasAM_2019_c
rf,YuJ_2015,0.8113113113113113,1211,128,9730,
rf,ZellerG_2014,0.822455923291061,1225,114,9933,
xgb,FengQ_2015,0.8602993585174625,1232,107,9868,
xgb,GuptaA_2019,0.8711111111111112,1279,60,9957,
xgb,ThomasAM_2018a,0.7744252873563219,1226,53,9929,ThomasAM_2018b
xgb,ThomasAM_2018b,0.7455357142857142,1226,60,9929,ThomasAM_2018a
xgb,ThomasAM_2019_c,0.8256249999999999,751,80,9537,YachidaS_2019
xgb,VogtmannE_2016,0.7230029585798816,1235,104,9921,
xgb,WirbelJ_2018,0.8605128205128205,1214,125,9939,
xgb,YachidaS_2019,0.7065891472868218,751,508,9537,ThomasAM_2019_c
xgb,YuJ_2015,0.8395895895895895,1211,128,9730,
xgb,ZellerG_2014,0.7930714506650169,1225,114,9933,
