feature_set,model,cohort,auc,n_features,mean_auc
species_only,rf,FengQ_2015,0.8399857448325017,229,0.8074773985892569
species_only,rf,GuptaA_2019,0.8822222222222222,229,0.8074773985892569
species_only,rf,ThomasAM_2018a,0.6939655172413793,229,0.8074773985892569
species_only,rf,ThomasAM_2018b,0.8102678571428571,229,0.8074773985892569
species_only,rf,ThomasAM_2019_c,0.835625,229,0.8074773985892569
species_only,rf,VogtmannE_2016,0.7559171597633135,229,0.8074773985892569
species_only,rf,WirbelJ_2018,0.8817948717948718,229,0.8074773985892569
species_only,rf,YachidaS_2019,0.707720930232558,229,0.8074773985892569
species_only,rf,YuJ_2015,0.8646146146146146,229,0.8074773985892569
species_only,rf,ZellerG_2014,0.8026600680482525,229,0.8074773985892569
species_only,xgb,FengQ_2015,0.864575908766928,229,0.7995508665574665
species_only,xgb,GuptaA_2019,0.8555555555555555,229,0.7995508665574665
species_only,xgb,ThomasAM_2018a,0.7385057471264367,229,0.7995508665574665
species_only,xgb,ThomasAM_2018b,0.7868303571428571,229,0.7995508665574665
species_only,xgb,ThomasAM_2019_c,0.83125,229,0.7995508665574665
species_only,xgb,VogtmannE_2016,0.7514792899408285,229,0.7995508665574665
species_only,xgb,WirbelJ_2018,0.8438461538461539,229,0.7995508665574665
species_only,xgb,YachidaS_2019,0.7029457364341085,229,0.7995508665574665
species_only,xgb,YuJ_2015,0.8215715715715716,229,0.7995508665574665
species_only,xgb,ZellerG_2014,0.7989483451902257,229,0.7995508665574665
unstrat_joint,rf,FengQ_2015,0.8328581610833927,634,0.8043005766276112
unstrat_joint,rf,GuptaA_2019,0.9122222222222222,634,0.8043005766276112
unstrat_joint,rf,ThomasAM_2018a,0.8433908045977012,633,0.8043005766276112
unstrat_joint,rf,ThomasAM_2018b,0.7912946428571428,633,0.8043005766276112
unstrat_joint,rf,ThomasAM_2019_c,0.7775,633,0.8043005766276112
unstrat_joint,rf,VogtmannE_2016,0.7196745562130178,634,0.8043005766276112
unstrat_joint,rf,WirbelJ_2018,0.852051282051282,635,0.8043005766276112
unstrat_joint,rf,YachidaS_2019,0.6685271317829458,633,0.8043005766276112
unstrat_joint,rf,YuJ_2015,0.8193193193193193,631,0.8043005766276112
unstrat_joint,rf,ZellerG_2014,0.8261676461490874,633,0.8043005766276112
unstrat_joint,xgb,FengQ_2015,0.8439059158945117,634,0.7970440988237668
unstrat_joint,xgb,GuptaA_2019,0.8855555555555557,634,0.7970440988237668
unstrat_joint,xgb,ThomasAM_2018a,0.742816091954023,633,0.7970440988237668
unstrat_joint,xgb,ThomasAM_2018b,0.7611607142857143,633,0.7970440988237668
unstrat_joint,xgb,ThomasAM_2019_c,0.81875,633,0.7970440988237668
unstrat_joint,xgb,VogtmannE_2016,0.7340976331360946,634,0.7970440988237668
unstrat_joint,xgb,WirbelJ_2018,0.86,635,0.7970440988237668
unstrat_joint,xgb,YachidaS_2019,0.694015503875969,633,0.7970440988237668
unstrat_joint,xgb,YuJ_2015,0.8188188188188188,631,0.7970440988237668
unstrat_joint,xgb,ZellerG_2014,0.8113207547169811,633,0.7970440988237668
species_plus_stratified,rf,FengQ_2015,0.7886671418389166,4649,0.7520327261357975
species_plus_stratified,rf,GuptaA_2019,0.8311111111111111,4736,0.7520327261357975
species_plus_stratified,rf,ThomasAM_2018a,0.7212643678160919,4772,0.7520327261357975
species_plus_stratified,rf,ThomasAM_2018b,0.6774553571428571,4772,0.7520327261357975
species_plus_stratified,rf,ThomasAM_2019_c,0.75625,4751,0.7520327261357975
species_plus_stratified,rf,VogtmannE_2016,0.6560650887573964,4743,0.7520327261357975
species_plus_stratified,rf,WirbelJ_2018,0.8200000000000001,4743,0.7520327261357975
species_plus_stratified,rf,YachidaS_2019,0.6669922480620155,4751,0.7520327261357975
species_plus_stratified,rf,YuJ_2015,0.7942942942942942,4602,0.7520327261357975
species_plus_stratified,rf,ZellerG_2014,0.8082276523352923,4717,0.7520327261357975
species_plus_stratified,xgb,FengQ_2015,0.8652886671418388,4649,0.7963816352206068
species_plus_stratified,xgb,GuptaA_2019,0.8655555555555555,4736,0.7963816352206068
species_plus_stratified,xgb,ThomasAM_2018a,0.7442528735632183,4772,0.7963816352206068
species_plus_stratified,xgb,ThomasAM_2018b,0.7734375,4772,0.7963816352206068
species_plus_stratified,xgb,ThomasAM_2019_c,0.8368749999999999,4751,0.7963816352206068
species_plus_stratified,xgb,VogtmannE_2016,0.7218934911242603,4743,0.7963816352206068
species_plus_stratified,xgb,WirbelJ_2018,0.8374358974358975,4743,0.7963816352206068
species_plus_stratified,xgb,YachidaS_2019,0.7013953488372092,4751,0.7963816352206068
species_plus_stratified,xgb,YuJ_2015,0.8388388388388389,4602,0.7963816352206068
species_plus_stratified,xgb,ZellerG_2014,0.7788431797092484,4717,0.7963816352206068
