cohort,species_rf_auc,n_train,n_test,joint_rf_auc,joint_xgb_auc,bio_pathway_rf_auc,combat_species_rf_auc
FengQ_2015,0.84,1232.0,107.0,0.8329,0.8439,0.8304,0.85
GuptaA_2019,0.8822,1279.0,60.0,0.9122,0.8856,0.9356,0.9189
ThomasAM_2018a,0.694,1226.0,53.0,0.8434,0.7428,0.8161,0.7256
ThomasAM_2018b,0.8103,1226.0,60.0,0.7913,0.7612,0.808,0.7924
ThomasAM_2019_c,0.8356,751.0,80.0,0.7775,0.8188,0.8212,0.8431
VogtmannE_2016,0.7559,1235.0,104.0,0.7197,0.7341,0.7463,0.7674
WirbelJ_2018,0.8818,1214.0,125.0,0.8521,0.86,0.8615,0.8808
YachidaS_2019,0.7077,751.0,508.0,0.6685,0.694,0.6785,0.7033
YuJ_2015,0.8646,1211.0,128.0,0.8193,0.8188,0.8428,0.8539
ZellerG_2014,0.8027,1225.0,114.0,0.8262,0.8113,0.8286,0.8122
MEAN,0.8075,1135.0,133.9,0.8043,0.797,0.8169,0.8147
