prev_threshold,mean_threshold,n_pathways_mean,n_features_mean,mean_auc,std_auc
0.05,1e-07,438.6,667.6,0.7962,0.0894
0.05,1e-06,405.4,634.4,0.7913,0.0906
0.05,1e-05,318.4,547.4,0.7844,0.0900
0.05,0.0001,151.8,380.8,0.8284,0.0716
0.05,0.001,2.0,231.0,0.8353,0.0541
0.1,1e-07,420.2,649.2,0.7891,0.0819
0.1,1e-06,403.0,632.0,0.7884,0.0892
0.1,1e-05,318.4,547.4,0.7844,0.0900
0.1,0.0001,151.8,380.8,0.8284,0.0716
0.1,0.001,2.0,231.0,0.8353,0.0541
0.15,1e-07,402.0,631.0,0.7929,0.0916
0.15,1e-06,392.4,621.4,0.7806,0.0931
0.15,1e-05,318.4,547.4,0.7844,0.0900
0.15,0.0001,151.8,380.8,0.8284,0.0716
0.15,0.001,2.0,231.0,0.8353,0.0541
0.2,1e-07,384.2,613.2,0.7909,0.0910
0.2,1e-06,379.0,608.0,0.7842,0.0907
0.2,1e-05,318.4,547.4,0.7844,0.0900
0.2,0.0001,151.8,380.8,0.8284,0.0716
0.2,0.001,2.0,231.0,0.8353,0.0541
