gene_id,n_outer_selections,n_heldout_evaluable,heldout_crc_enriched_fraction,heldout_median_auc,heldout_median_prevalence_difference,internal_nomination,external_confirmation_status,source_representative_id,resolution_source,uniparc_id,current_accessions,organisms,taxon_ids,gene_names,protein_names,sequence_length,sequence_md5,annotation_category,biological_review_status,intervention_target_status,lookup_url,retrieved_at_utc
UniRef90_A0A0E2AL27,10,10,0.8,0.6347365333605386,0.0402653548002385,True,not_yet_assessed,A0A0E2AL27,UniParc_sequence_archive,UPI0002693D54,EIY91250,Bacteroides fragilis CL07T12C05,997883,HMPREF1056_04033,Uncharacterized protein,38,4BC5EAD40F6CB376FB680764007D2FCA,uncharacterized,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/A0A0E2AL27.json,2026-08-08T23:28:32.521990+00:00
UniRef90_A0A329TH64,10,10,0.8,0.6113508352769003,0.0368954872646732,True,not_yet_assessed,A0A329TH64,UniParc_sequence_archive,UPI000DCC14A1,AXA83273;RAW48308,Faecalibacterium prausnitzii,853,C3706_10320;C4N27_11725,Uncharacterized protein,83,FFC6EFDDCD113A54BFF454B2C3F00807,uncharacterized,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/A0A329TH64.json,2026-08-08T23:28:32.521990+00:00
UniRef90_A0A192CAU6,10,10,0.8,0.6083308678169421,0.0521821371785734,True,not_yet_assessed,A0A192CAU6,UniParc_sequence_archive,UPI0007F0E539,ANK02892;ANK03753,Escherichia coli O25b:H4,941280,WLH_01631;WLH_02492,Uncharacterized protein,50,A89F3213E5B41BA74A409B60C511A5FC,uncharacterized,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/A0A192CAU6.json,2026-08-08T23:28:32.521990+00:00
UniRef90_A0A081TLD1,10,10,0.8,0.5948509339080459,0.0510260260260259,True,not_yet_assessed,A0A081TLD1,UniParc_sequence_archive,UPI0002F0CF39,MCS2405813;MCS2535836;WP_032535932;fig|457387.3.peg.4956;fig|457389.4.peg.2054;fig|817.51.peg.1453;fig|817.52.peg.2918;fig|817.56.peg.4753,Bacteroides fragilis;Bacteroides salyersiae;Bacteroides sp. 1_1_30;Bacteroides sp. 3_1_13;Butyricimonas paravirosa,1472417;291644;457387;457389;817,NXX36_07315;NXY31_15080,Uncharacterized protein;hypothetical protein,61,77455E007B51868F38F38538C463F859,uncharacterized,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/A0A081TLD1.json,2026-08-08T23:28:32.521990+00:00
UniRef90_W6P8M8,10,10,0.8,0.5944304733727811,0.0122504472271914,True,not_yet_assessed,W6P8M8,UniParc_sequence_archive,UPI0003ECEF10,CDM06034;ENSB:r7zTu0RzPZuZVXH;fig|702447.11.peg.3619,Bacteroides xylanisolvens SD CC 1b,702447,BN890_36360;nadB,L-aspartate oxidase,524,B90E887C7DA04CEE4681FD98FD367D1C,annotated,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/W6P8M8.json,2026-08-08T23:28:32.521990+00:00
UniRef90_R5RC53,10,10,0.8,0.5906656804733728,0.0196253946253945,True,not_yet_assessed,R5RC53,UniParc_sequence_archive,UPI000338CE9B,A0A1M6M6T1;CCZ38248;DAH02559;ENSB:Vx1sSlV01-jRPMh;ENSB:uVOEsfmWTLHxgj6;SHJ79120;fig|1236514.3.peg.5844;fig|1263047.3.peg.194;fig|1339270.3.peg.2048;fig|817.58.peg.1856;fig|871324.4.peg.53,Bacteroides fragilis;Bacteroides fragilis CAG:558;Bacteroides fragilis str. I1345;Bacteroides stercorirosoris;Bacteroides stercorirosoris JCM 17103;Caudoviricetes sp.,1236514;1263047;1339270;2832643;817;871324,BN707_00168;SAMN05444350_1646,Helix-turn-helix domain protein;Helix-turn-helix domain-containing protein;MerR family transcriptional regulator,127,5BDEC907F651C93204817CCFE4CE93C1,annotated,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/R5RC53.json,2026-08-08T23:28:32.521990+00:00
UniRef90_R5REJ2,10,10,0.8,0.5879155614500442,0.0102183634371321,True,not_yet_assessed,R5REJ2,UniParc_sequence_archive,UPI0002808CBC,CCZ39635;EKA90564;ENSB:0WrGlAS9xRtNsl_;ENSB:1VhZ_NbCK2jPzUU;ENSB:EuKMbV_HW8Za3Je;ENSB:Mz9frck3UfwRCyg;ENSB:NKDNZzknfaF-sjS;ENSB:SGRqQ8rEyu64jay;ENSB:iy2exWNgSA5LVhI;ENSB:jQKxZXJSbgI2V3A;ENSB:wdtYfb3JqPoaMnr;GAA6243640;WMI92713;fig|1073386.3.peg.2200;fig|1263047.3.peg.3683;fig|1450439.3.peg.3385;fig|457424.5.peg.3698,Bacteroides fragilis;Bacteroides fragilis 3_1_12;Bacteroides fragilis CAG:558;Bacteroides fragilis HMW 610;Bacteroides sp. PHL 2737;Bacteroides sp. UW,1073386;1263047;1450439;2162637;457424;817,BFGS084_00079;BN707_03306;F030043B2_26820;HMPREF1203_02099;pheA,Prephenate dehydratase;Uncharacterized protein,300,BC08DAC8D244E7CDB0CB5537B3963330,uncharacterized,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/R5REJ2.json,2026-08-08T23:28:32.521990+00:00
UniRef90_A0A069DBF6,10,10,0.8,0.5667973372781065,0.0291669640803571,True,not_yet_assessed,A0A069DBF6,UniProtKB_active,,A0A069DBF6,Bacteroides graminisolvens DSM 19988 = JCM 15093,1121097,,Protein FixA,316,7F8C68E29F2F26C17268657067124063,annotated,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/A0A069DBF6.json,2026-08-08T23:28:32.521990+00:00
UniRef90_H1B745,9,9,0.8888888888888888,0.5503003003003003,0.044642857142857,True,not_yet_assessed,H1B745,UniParc_sequence_archive,UPI000246D536,BDF01569;EHO30915;ENSB:s7rXWQ-pma398wE;MBU9107615;MBV4169150;MCR0218378;MCR0225920;MCR0230248;MCR0231873;MCR0366997;MCR0377453;MCR0433721;MCR0451441;MCR0473889;MCR0498034;MCR0551977;MCR0608264;MGJ0707978;MGJ0831531;WP_008816757;fig|469614.3.peg.1050,Clostridium innocuum;Erysipelotrichaceae bacterium 6_1_45,1522;469614,ACR75U_09495;ACR75Z_02490;CE91St51_36060;HMPREF0981_01028;KSY98_07960;KTG08_16455;MKA44_08100;MKA47_18225;MKA57_22170;MKC41_19985;MKC42_20590;MKC45_15365;MKC61_04315;MKC80_19415;MKC95_03725;MKC96_05645;MKD11_02145;MKD15_19540,DUF4259 domain-containing protein;Uncharacterized protein,157,72F6FBC5B7553859E5AAA7C3910B3B41,uncharacterized,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/H1B745.json,2026-08-08T23:28:32.521990+00:00
UniRef90_Q8A4A2,8,8,0.875,0.5803663267304444,0.0228100775193798,True,not_yet_assessed,Q8A4A2,UniProtKB_active,,Q8A4A2,Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50),226186,rpoA,DNA-directed RNA polymerase subunit alpha,330,A4A2A30D0BA859CA852F6C745E04D92D,annotated,pending_manual_review,not_yet_established,https://rest.uniprot.org/uniprotkb/Q8A4A2.json,2026-08-08T23:28:32.521990+00:00
