sample_id,study_name,label,read_id,accession,pident,alignment_length,evalue,bitscore,mechanism,prespecified_gene
GupDM_A1,GuptaA_2019,1,SRR8865598.18962,Q0P7J2,100.0,45,6.53e-28,97.4,colibactin_genotoxicity,clbB
GupDM_A1,GuptaA_2019,1,SRR8865598.32612,Q0P7K0,96.2,53,1.6100000000000002e-31,108.0,colibactin_genotoxicity,clbJ
GupDM_A1,GuptaA_2019,1,SRR8865598.43014,Q0P7J2,100.0,50,6.76e-30,103.0,colibactin_genotoxicity,clbB
GupDM_A1,GuptaA_2019,1,SRR8865598.47494,Q0P7J8,96.0,50,5.88e-29,100.0,colibactin_genotoxicity,clbH
GupDM_A1,GuptaA_2019,1,SRR8865598.47564,Q0P7J2,98.0,50,6.380000000000001e-32,109.0,colibactin_genotoxicity,clbB
GupDM_A1,GuptaA_2019,1,SRR8865598.49027,Q0P7J6,97.0,33,6.04e-17,65.5,colibactin_genotoxicity,clbF
GupDM_A1,GuptaA_2019,1,SRR8865598.56954,Q0P7J9,100.0,34,1.27e-17,67.0,colibactin_genotoxicity,clbI
GupDM_A1,GuptaA_2019,1,SRR8865598.74368,Q0P7K6,96.1,51,1.67e-29,102.0,colibactin_genotoxicity,clbP
GupDM_A1,GuptaA_2019,1,SRR8865598.88114,Q0P7J7,100.0,49,2.6199999999999997e-30,103.0,colibactin_genotoxicity,clbG
GupDM_A1,GuptaA_2019,1,SRR8865598.88155,Q0P7J9,98.0,51,1.3299999999999999e-30,105.0,colibactin_genotoxicity,clbI
GupDM_A1,GuptaA_2019,1,SRR8865598.107596,Q0P7J2,100.0,41,9.32e-26,90.9,colibactin_genotoxicity,clbB
GupDM_A1,GuptaA_2019,1,SRR8865598.108721,Q0P7J0,93.0,43,1.7599999999999998e-24,85.5,colibactin_genotoxicity,clbA
GupDM_A1,GuptaA_2019,1,SRR8865598.114736,Q0P7K3,100.0,31,4.13e-16,62.4,colibactin_genotoxicity,clbM
GupDM_A1,GuptaA_2019,1,SRR8865598.116048,Q0P7J2,98.0,50,5.73e-29,100.0,colibactin_genotoxicity,clbB
GupDM_A1,GuptaA_2019,1,SRR8865598.128849,Q0P7K2,97.6,41,6.94e-24,86.3,colibactin_genotoxicity,clbL
GupDM_A1,GuptaA_2019,1,SRR8865598.155167,Q0P7J8,94.0,50,1.96e-28,99.4,colibactin_genotoxicity,clbH
GupDM_A1,GuptaA_2019,1,SRR8865598.155871,Q0P7J9,90.6,53,9.5e-28,97.4,colibactin_genotoxicity,clbI
GupDM_A1,GuptaA_2019,1,SRR8865598.216788,Q0P7K0,92.7,41,6.81e-24,85.9,colibactin_genotoxicity,clbJ
GupDM_A1,GuptaA_2019,1,SRR8865598.233876,Q0P7J2,98.0,50,4.37e-29,101.0,colibactin_genotoxicity,clbB
GupDM_A1,GuptaA_2019,1,SRR8865598.238422,Q0P7K6,100.0,49,2.82e-28,98.6,colibactin_genotoxicity,clbP
CCMD19168690ST-11-0,WirbelJ_2018,1,ERR2726410.207116,Q0P7J7,100.0,46,1.9299999999999999e-28,97.1,colibactin_genotoxicity,clbG
