mechanism,prespecified_gene,query,evidence_url,accession,gene_names,organism,protein_name,reviewed,query_status,uniref90,n_cohorts_detected
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,A0ABN0BG62,bft BFAG_00571,Bacteroides fragilis 3_1_12,Fragilysin (EC 3.4.24.74),unreviewed,mapped_but_not_detected,UniRef90_A0ACH4HNJ6,0
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,O05091,bft-2,Bacteroides fragilis,Metalloprotease,unreviewed,frozen_detected,UniRef90_P54355,7
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,O86049,bft-3,Bacteroides fragilis,BFT-3 (Metalloprotease),unreviewed,frozen_detected,UniRef90_P54355,7
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,Q6UCA5,bft,Bacteroides fragilis,Bft,unreviewed,frozen_detected,UniRef90_P54355,7
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,Q9K2T6,bft,Bacteroides fragilis,Metalloprotease enterotoxin,unreviewed,frozen_detected,UniRef90_P54355,7
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,Q9K2V3,bft,Bacteroides fragilis,Metalloprotease enterotoxin,unreviewed,frozen_detected,UniRef90_Q9K2V3,3
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,Q9L8P8,bft,Bacteroides fragilis,Metalloprotease enterotoxin,unreviewed,frozen_detected,UniRef90_P54355,7
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,Q9L8P9,bft,Bacteroides fragilis,Metalloprotease enterotoxin,unreviewed,frozen_detected,UniRef90_P54355,7
b_fragilis_toxin,bft,(gene:bft) AND (taxonomy_id:817),https://pubmed.ncbi.nlm.nih.gov/29398651/,Q9S5W0,bft-1 bft NXW39_20880,Bacteroides fragilis,Fragilysin (EC 3.4.24.74) (Metalloprotease),unreviewed,frozen_detected,UniRef90_P54355,7
colibactin_genotoxicity,clbA,(gene_exact:clbA) AND (taxonomy_id:562),https://www.nature.com/articles/s41586-020-2080-8,Q0P7J0,clbA sfp D3C88_04900 EPS76_26830 EWK56_24810 FPI65_12415 NCTC9075_02710 PWL68_000566,Escherichia coli,4'-phosphopantetheinyl transferase (EC 2.7.8.-) (Colibactin biosynthesis phosphopantetheinyl transferase ClbA),unreviewed,frozen_detected,UniRef90_Q0P7J0,9
