guide_id,target_id,target_gene,benchmark_role,accession,strain,n_fasta_records,n_exact_pam_sites,covered,unique_site,site_details,source_table_row,host,country,isolation_source,source_group,pathotype,phylogroup,sequence_type,pks_status,short_read_run
sgclbB_4387,colibactin,clbB,primary,BFKZ01000000,HUST146,85,1,True,True,"[{""record_id"":""BFKZ01000063|BFKZ01000063.1"",""start_1based"":30136,""strand"":""+"",""pam"":""AGG""}]",15,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,DRR102674
sgclbB_4387,colibactin,clbB,primary,BFLA01000000,HUST147,52,1,True,True,"[{""record_id"":""BFLA01000049|BFLA01000049.1"",""start_1based"":19686,""strand"":""-"",""pam"":""AGG""}]",16,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102675
sgclbB_4387,colibactin,clbB,primary,BFLB01000000,HUST148,118,1,True,True,"[{""record_id"":""BFLB01000053|BFLB01000053.1"",""start_1based"":7912,""strand"":""-"",""pam"":""AGG""}]",17,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,DRR102676
sgclbB_4387,colibactin,clbB,primary,BFLR01000000,HUST176,92,1,True,True,"[{""record_id"":""BFLR01000077|BFLR01000077.1"",""start_1based"":25105,""strand"":""+"",""pam"":""AGG""}]",18,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,DRR102692
sgclbB_4387,colibactin,clbB,primary,BFMH01000000,JML008,672,1,True,True,"[{""record_id"":""BFMH01000123|BFMH01000123.1"",""start_1based"":12746,""strand"":""-"",""pam"":""AGG""}]",19,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102708
sgclbB_4387,colibactin,clbB,primary,BFMN01000000,JML016,427,1,True,True,"[{""record_id"":""BFMN01000110|BFMN01000110.1"",""start_1based"":24176,""strand"":""+"",""pam"":""AGG""}]",20,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102714
sgclbB_4387,colibactin,clbB,primary,BFMO01000000,JML017,418,1,True,True,"[{""record_id"":""BFMO01000120|BFMO01000120.1"",""start_1based"":12556,""strand"":""-"",""pam"":""AGG""}]",21,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,DRR102715
sgclbB_4387,colibactin,clbB,primary,BFMV01000000,JML024,472,2,True,False,"[{""record_id"":""BFMV01000051|BFMV01000051.1"",""start_1based"":18382,""strand"":""-"",""pam"":""AGG""},{""record_id"":""BFMV01000280|BFMV01000280.1"",""start_1based"":255,""strand"":""-"",""pam"":""AGG""}]",22,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102722
sgclbB_4387,colibactin,clbB,primary,BFMY01000000,JML028,446,1,True,True,"[{""record_id"":""BFMY01000339|BFMY01000339.1"",""start_1based"":17614,""strand"":""-"",""pam"":""AGG""}]",23,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102725
sgclbB_4387,colibactin,clbB,primary,BFNG01000000,JML037,390,1,True,True,"[{""record_id"":""BFNG01000357|BFNG01000357.1"",""start_1based"":18290,""strand"":""-"",""pam"":""AGG""}]",24,human,Japan,feces,fecal_commensal,commensal,B2,ND,positive_reported_by_source,DRR102733
sgclbB_4387,colibactin,clbB,primary,BFNI01000000,JML040,431,1,True,True,"[{""record_id"":""BFNI01000121|BFNI01000121.1"",""start_1based"":18298,""strand"":""-"",""pam"":""AGG""}]",25,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102735
sgclbB_4387,colibactin,clbB,primary,BFNK01000000,JML043,109,1,True,True,"[{""record_id"":""BFNK01000090|BFNK01000090.1"",""start_1based"":19685,""strand"":""-"",""pam"":""AGG""}]",26,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102737
sgclbB_4387,colibactin,clbB,primary,BFNV01000000,JML054,216,1,True,True,"[{""record_id"":""BFNV01000103|BFNV01000103.1"",""start_1based"":25889,""strand"":""-"",""pam"":""AGG""}]",27,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,DRR102748
sgclbB_4387,colibactin,clbB,primary,BFOF01000000,JML064,100,1,True,True,"[{""record_id"":""BFOF01000038|BFOF01000038.1"",""start_1based"":18316,""strand"":""-"",""pam"":""AGG""}]",28,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102758
sgclbB_4387,colibactin,clbB,primary,BFPD01000000,JML090,110,1,True,True,"[{""record_id"":""BFPD01000049|BFPD01000049.1"",""start_1based"":36337,""strand"":""-"",""pam"":""AGG""}]",29,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,DRR102782
sgclbB_4387,colibactin,clbB,primary,BFPF01000000,JML092,133,1,True,True,"[{""record_id"":""BFPF01000044|BFPF01000044.1"",""start_1based"":24188,""strand"":""+"",""pam"":""AGG""}]",30,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,DRR102784
sgclbB_4387,colibactin,clbB,primary,BFPJ01000000,JML096,323,1,True,True,"[{""record_id"":""BFPJ01000304|BFPJ01000304.1"",""start_1based"":20056,""strand"":""-"",""pam"":""AGG""}]",31,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102788
sgclbB_4387,colibactin,clbB,primary,BFPL01000000,JML098,82,1,True,True,"[{""record_id"":""BFPL01000015|BFPL01000015.1"",""start_1based"":37752,""strand"":""-"",""pam"":""AGG""}]",32,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,DRR102790
