guide_id,target_id,target_gene,benchmark_role,accession,strain,n_fasta_records,n_exact_pam_sites,covered,unique_site,site_details
sgclbB_4387,colibactin,clbB,primary,CP072787.1,NC101 original,1,1,True,True,"[{""record_id"":""CP072787.1"",""start_1based"":3038926,""strand"":""+"",""pam"":""AGG""}]"
sgclbC_2313,colibactin,clbC,secondary,CP072787.1,NC101 original,1,1,True,True,"[{""record_id"":""CP072787.1"",""start_1based"":3031332,""strand"":""+"",""pam"":""GGG""}]"
sgclbB_4387,colibactin,clbB,primary,NC_017628.1,IHE3034,1,1,True,True,"[{""record_id"":""NC_017628.1"",""start_1based"":2238787,""strand"":""+"",""pam"":""AGG""}]"
sgclbC_2313,colibactin,clbC,secondary,NC_017628.1,IHE3034,1,1,True,True,"[{""record_id"":""NC_017628.1"",""start_1based"":2231193,""strand"":""+"",""pam"":""GGG""}]"
sgclbB_4387,colibactin,clbB,primary,NZ_CVOH00000000.1,A192PP,209,1,True,True,"[{""record_id"":""CVOH01000106.1"",""start_1based"":11673,""strand"":""+"",""pam"":""AGG""}]"
sgclbC_2313,colibactin,clbC,secondary,NZ_CVOH00000000.1,A192PP,209,1,True,True,"[{""record_id"":""CVOH01000106.1"",""start_1based"":4310,""strand"":""+"",""pam"":""GGG""}]"
sgclbB_4387,colibactin,clbB,primary,MBNU00000000.1,MIT A2,3,1,True,True,"[{""record_id"":""MBNU01000003.1"",""start_1based"":4514585,""strand"":""-"",""pam"":""AGG""}]"
sgclbC_2313,colibactin,clbC,secondary,MBNU00000000.1,MIT A2,3,1,True,True,"[{""record_id"":""MBNU01000003.1"",""start_1based"":4522179,""strand"":""-"",""pam"":""GGG""}]"
sgclbB_4387,colibactin,clbB,primary,MBNW00000000.1,MIT A21,5,1,True,True,"[{""record_id"":""MBNW01000001.1"",""start_1based"":1567661,""strand"":""+"",""pam"":""AGG""}]"
sgclbC_2313,colibactin,clbC,secondary,MBNW00000000.1,MIT A21,5,1,True,True,"[{""record_id"":""MBNW01000001.1"",""start_1based"":1560067,""strand"":""+"",""pam"":""GGG""}]"
sgclbB_4387,colibactin,clbB,primary,MBNX00000000.1,Whitehead 0008,3,1,True,True,"[{""record_id"":""MBNX01000003.1"",""start_1based"":4742271,""strand"":""+"",""pam"":""AGG""}]"
sgclbC_2313,colibactin,clbC,secondary,MBNX00000000.1,Whitehead 0008,3,1,True,True,"[{""record_id"":""MBNX01000003.1"",""start_1based"":4734677,""strand"":""+"",""pam"":""GGG""}]"
sgclbB_4387,colibactin,clbB,primary,MBNY00000000.1,Whitehead 0026,2,1,True,True,"[{""record_id"":""MBNY01000001.1"",""start_1based"":4050931,""strand"":""+"",""pam"":""AGG""}]"
sgclbC_2313,colibactin,clbC,secondary,MBNY00000000.1,Whitehead 0026,2,1,True,True,"[{""record_id"":""MBNY01000001.1"",""start_1based"":4043337,""strand"":""+"",""pam"":""GGG""}]"
