panel_id,source_table_row,strain,host,country,isolation_source,source_group,pathotype,phylogroup,sequence_type,pks_status,wgs_accession,short_read_run,download_url
watanabe_2021_human_pks_positive,15,HUST146,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFKZ01000000,DRR102674,https://getentry.ddbj.nig.ac.jp/getentry/na/BFKZ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,16,HUST147,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFLA01000000,DRR102675,https://getentry.ddbj.nig.ac.jp/getentry/na/BFLA01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,17,HUST148,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFLB01000000,DRR102676,https://getentry.ddbj.nig.ac.jp/getentry/na/BFLB01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,18,HUST176,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFLR01000000,DRR102692,https://getentry.ddbj.nig.ac.jp/getentry/na/BFLR01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,19,JML008,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFMH01000000,DRR102708,https://getentry.ddbj.nig.ac.jp/getentry/na/BFMH01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,20,JML016,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFMN01000000,DRR102714,https://getentry.ddbj.nig.ac.jp/getentry/na/BFMN01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,21,JML017,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFMO01000000,DRR102715,https://getentry.ddbj.nig.ac.jp/getentry/na/BFMO01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,22,JML024,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFMV01000000,DRR102722,https://getentry.ddbj.nig.ac.jp/getentry/na/BFMV01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,23,JML028,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFMY01000000,DRR102725,https://getentry.ddbj.nig.ac.jp/getentry/na/BFMY01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,24,JML037,human,Japan,feces,fecal_commensal,commensal,B2,ND,positive_reported_by_source,BFNG01000000,DRR102733,https://getentry.ddbj.nig.ac.jp/getentry/na/BFNG01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,25,JML040,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFNI01000000,DRR102735,https://getentry.ddbj.nig.ac.jp/getentry/na/BFNI01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,26,JML043,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFNK01000000,DRR102737,https://getentry.ddbj.nig.ac.jp/getentry/na/BFNK01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,27,JML054,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFNV01000000,DRR102748,https://getentry.ddbj.nig.ac.jp/getentry/na/BFNV01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,28,JML064,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFOF01000000,DRR102758,https://getentry.ddbj.nig.ac.jp/getentry/na/BFOF01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,29,JML090,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFPD01000000,DRR102782,https://getentry.ddbj.nig.ac.jp/getentry/na/BFPD01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,30,JML092,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFPF01000000,DRR102784,https://getentry.ddbj.nig.ac.jp/getentry/na/BFPF01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,31,JML096,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFPJ01000000,DRR102788,https://getentry.ddbj.nig.ac.jp/getentry/na/BFPJ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,32,JML098,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFPL01000000,DRR102790,https://getentry.ddbj.nig.ac.jp/getentry/na/BFPL01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,33,JML102,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFPP01000000,DRR102794,https://getentry.ddbj.nig.ac.jp/getentry/na/BFPP01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,34,JML103,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFPQ01000000,DRR102795,https://getentry.ddbj.nig.ac.jp/getentry/na/BFPQ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,35,JML114,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFPZ01000000,DRR102804,https://getentry.ddbj.nig.ac.jp/getentry/na/BFPZ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,36,JML121,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFQF01000000,DRR102810,https://getentry.ddbj.nig.ac.jp/getentry/na/BFQF01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,37,JML122,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFQG01000000,DRR102811,https://getentry.ddbj.nig.ac.jp/getentry/na/BFQG01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,38,JML126,human,Japan,feces,fecal_commensal,commensal,B2,12,positive_reported_by_source,BFQJ01000000,DRR102814,https://getentry.ddbj.nig.ac.jp/getentry/na/BFQJ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,39,JML139,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFQU01000000,DRR102825,https://getentry.ddbj.nig.ac.jp/getentry/na/BFQU01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,40,JML143,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFQX01000000,DRR102828,https://getentry.ddbj.nig.ac.jp/getentry/na/BFQX01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,41,JML146,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFRA01000000,DRR102831,https://getentry.ddbj.nig.ac.jp/getentry/na/BFRA01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,42,JML148,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFRC01000000,DRR102833,https://getentry.ddbj.nig.ac.jp/getentry/na/BFRC01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,43,JML159,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFRL01000000,DRR102842,https://getentry.ddbj.nig.ac.jp/getentry/na/BFRL01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,44,JML165,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFRQ01000000,DRR102847,https://getentry.ddbj.nig.ac.jp/getentry/na/BFRQ01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,45,JML168,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFRT01000000,DRR102850,https://getentry.ddbj.nig.ac.jp/getentry/na/BFRT01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,46,JML173,human,Japan,feces,fecal_commensal,commensal,B2,550,positive_reported_by_source,BFRW01000000,DRR102853,https://getentry.ddbj.nig.ac.jp/getentry/na/BFRW01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,47,JML175,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFRY01000000,DRR102855,https://getentry.ddbj.nig.ac.jp/getentry/na/BFRY01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,48,JML178,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFSA01000000,DRR102857,https://getentry.ddbj.nig.ac.jp/getentry/na/BFSA01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,49,JML181,human,Japan,feces,fecal_commensal,commensal,B2,12,positive_reported_by_source,BFSB01000000,DRR102858,https://getentry.ddbj.nig.ac.jp/getentry/na/BFSB01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,50,JML182,human,Japan,feces,fecal_commensal,commensal,B2,95,positive_reported_by_source,BFSC01000000,DRR102859,https://getentry.ddbj.nig.ac.jp/getentry/na/BFSC01000000?format=fasta&filetype=text&limit=0
watanabe_2021_human_pks_positive,51,JML197,human,Japan,feces,fecal_commensal,commensal,B2,73,positive_reported_by_source,BFSP01000000,DRR102872,https://getentry.ddbj.nig.ac.jp/getentry/na/BFSP01000000?format=fasta&filetype=text&limit=0
