mechanism,prespecified_gene,accession,uniref90,organism,protein_name,reviewed,evidence_url,query_status,n_cohorts_detected
b_fragilis_toxin,bft,A0ABN0BG62,UniRef90_A0ACH4HNJ6,Bacteroides fragilis 3_1_12,Fragilysin (EC 3.4.24.74),unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,mapped_but_not_detected,0
b_fragilis_toxin,bft,O05091,UniRef90_P54355,Bacteroides fragilis,Metalloprotease,unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,frozen_detected,7
b_fragilis_toxin,bft,O86049,UniRef90_P54355,Bacteroides fragilis,BFT-3 (Metalloprotease),unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,frozen_detected,7
b_fragilis_toxin,bft,Q6UCA5,UniRef90_P54355,Bacteroides fragilis,Bft,unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,frozen_detected,7
b_fragilis_toxin,bft,Q9K2T6,UniRef90_P54355,Bacteroides fragilis,Metalloprotease enterotoxin,unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,frozen_detected,7
b_fragilis_toxin,bft,Q9K2V3,UniRef90_Q9K2V3,Bacteroides fragilis,Metalloprotease enterotoxin,unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,frozen_detected,3
b_fragilis_toxin,bft,Q9L8P8,UniRef90_P54355,Bacteroides fragilis,Metalloprotease enterotoxin,unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,frozen_detected,7
b_fragilis_toxin,bft,Q9L8P9,UniRef90_P54355,Bacteroides fragilis,Metalloprotease enterotoxin,unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,frozen_detected,7
b_fragilis_toxin,bft,Q9S5W0,UniRef90_P54355,Bacteroides fragilis,Fragilysin (EC 3.4.24.74) (Metalloprotease),unreviewed,https://pubmed.ncbi.nlm.nih.gov/29398651/,frozen_detected,7
colibactin_genotoxicity,clbA,Q0P7J0,UniRef90_Q0P7J0,Escherichia coli,4'-phosphopantetheinyl transferase (EC 2.7.8.-) (Colibactin biosynthesis phosphopantetheinyl transferase ClbA),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,9
colibactin_genotoxicity,clbB,Q0P7J2,UniRef90_Q0P7J2,Escherichia coli,Colibactin hybrid non-ribosomal peptide synthetase/type I polyketide synthase ClbB (Putative hybrid polyketide-non-ribosomal peptide synthetase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
colibactin_genotoxicity,clbC,Q0P7J3,UniRef90_Q0P7J3,Escherichia coli,Colibactin polyketide synthase ClbC (Putative polyketide synthase),unreviewed,https://www.nature.com/articles/s41586-020-2080-8,frozen_detected,10
